symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
TRX-USDT,LONG,MEDIUM,0.28970000,0.28851030,0.29207940,2026-03-13 07:34:25,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.29, EMA50=0.29;✅ روند EMA 4h: EMA21=0.29, EMA50=0.29;✅ RSI 30m: RSI=51.49;✅ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.2897 EMA=0.2897 RSI=51.5 BS15=1.000;❌ ADX: ADX=36.00 [>25], DI+=147.37, DI-=313.16;✅ CCI عبور از ۰: CCI=36.93;❌ SAR: SAR=0.2897, قیمت=0.2897;✅ Stochastic کراس: K=52.63 D=17.54;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0006 [>0.007]"
NEAR-USDT,LONG,MEDIUM,1.38610000,1.34671390,1.46487220,2026-03-13 07:34:25,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.484 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.484 [≥ 0.48];✅ روند EMA 1h: EMA21=1.35, EMA50=1.32;✅ روند EMA 4h: EMA21=1.31, EMA50=1.28;✅ RSI 30m: RSI=61.32;✅ MACD 30m: MACD_hist=0.0004;❌ ورود هوشمند پولبک: قیمت=1.3861 EMA=1.3690 RSI=61.3 BS15=0.484;❌ ADX: ADX=42.36 [>25], DI+=117.41, DI-=289.96;✅ CCI عبور از ۰: CCI=59.48;✅ SAR: SAR=1.3780, قیمت=1.3861;✅ Stochastic کراس: K=51.27 D=17.09;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;❌ Double Top/Bottom: بدون الگو;✅ فیلتر رنج: فاصله EMA=0.0178 [>0.007]"
ETH-USDT,LONG,MEDIUM,2096.68000000,2088.17332000,2113.69336000,2026-03-13 10:10:50,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.044 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.713 [≥ 0.48];✅ روند EMA 1h: EMA21=2084.37, EMA50=2064.83;❌ روند EMA 4h: EMA21=2053.02, EMA50=2030.91;✅ RSI 30m: RSI=51.62;❌ MACD 30m: MACD_hist=-2.7523;❌ ورود هوشمند پولبک: قیمت=2096.6800 EMA=2097.9820 RSI=51.6 BS15=0.044;❌ ADX: ADX=77.65 [>25], DI+=76.99, DI-=611.93;❌ CCI عبور از ۰: CCI=-15.61;✅ SAR: SAR=2092.8866, قیمت=2096.6800;✅ Stochastic کراس: K=33.62 D=11.21;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0082 [>0.007]"
XRP-USDT,LONG,MEDIUM,1.41393000,1.39877607,1.44423786,2026-03-13 11:09:27,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.871 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.722 [≥ 0.48];✅ روند EMA 1h: EMA21=1.40, EMA50=1.39;❌ روند EMA 4h: EMA21=1.39, EMA50=1.38;✅ RSI 30m: RSI=59.37;✅ MACD 30m: MACD_hist=0.0004;❌ ورود هوشمند پولبک: قیمت=1.4139 EMA=1.4052 RSI=59.4 BS15=0.871;❌ ADX: ADX=92.38 [>25], DI+=23.72, DI-=598.80;✅ CCI عبور از ۰: CCI=69.95;✅ SAR: SAR=1.4120, قیمت=1.4139;✅ Stochastic کراس: K=51.38 D=17.13;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0072 [>0.007]"
ADA-USDT,LONG,MEDIUM,0.27680000,0.27292320,0.28455360,2026-03-13 18:07:06,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.524 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.583 [≥ 0.48];✅ روند EMA 1h: EMA21=0.27, EMA50=0.27;❌ روند EMA 4h: EMA21=0.27, EMA50=0.26;✅ RSI 30m: RSI=64.27;✅ MACD 30m: MACD_hist=0.0001;❌ ورود هوشمند پولبک: قیمت=0.2768 EMA=0.2744 RSI=64.3 BS15=0.524;❌ ADX: ADX=52.00 [>25], DI+=138.16, DI-=437.50;✅ CCI عبور از ۰: CCI=82.51;❌ SAR: SAR=0.2778, قیمت=0.2768;✅ Stochastic کراس: K=56.19 D=18.73;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0144 [>0.007]"
