symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,SHORT,LOW,4034.45000000,4116.69445000,3869.96110000,2026-06-11 01:53:50,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=4128.82, EMA50=4190.93;✅ روند EMA 4h: EMA21=4217.91, EMA50=4303.13;✅ RSI 30m: RSI=19.95;✅ MACD 30m: MACD_hist=-3.3148;❌ ورود هوشمند پولبک: قیمت=4034.4500 EMA=4099.7644 RSI=19.9 BS15=1.000;✅ ADX: ADX=59.64 [>25], DI+=168.85, DI-=667.92;✅ CCI عبور از ۰: CCI=-157.03;✅ SAR: SAR=4069.7594, قیمت=4034.4500;❌ Stochastic کراس: K=0.00 D=0.00;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0115 [>0.007]"
LTC-USDT,SHORT,LOW,41.44000000,42.39144000,39.53712000,2026-06-11 01:53:51,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.375 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.48];✅ روند EMA 1h: EMA21=42.18, EMA50=42.45;✅ روند EMA 4h: EMA21=42.63, EMA50=44.24;✅ RSI 30m: RSI=30.60;✅ MACD 30m: MACD_hist=-0.0732;❌ ورود هوشمند پولبک: قیمت=41.4400 EMA=41.9818 RSI=30.6 BS15=0.375;✅ ADX: ADX=83.41 [>25], DI+=53.48, DI-=591.46;✅ CCI عبور از ۰: CCI=-110.15;❌ SAR: SAR=41.2116, قیمت=41.4400;❌ Stochastic کراس: K=13.14 D=4.38;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0074 [>0.007]"
TRX-USDT,SHORT,LOW,0.32180000,0.32252180,0.32035640,2026-06-11 01:53:51,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.250 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=0.32, EMA50=0.32;✅ روند EMA 4h: EMA21=0.32, EMA50=0.33;✅ RSI 30m: RSI=46.28;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.3218 EMA=0.3220 RSI=46.3 BS15=0.250;✅ ADX: ADX=80.77 [>25], DI+=51.85, DI-=487.41;✅ CCI عبور از ۰: CCI=-70.98;❌ SAR: SAR=0.3213, قیمت=0.3218;❌ Stochastic کراس: K=27.27 D=9.09;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0011 [>0.007]"
APT-USDT,SHORT,LOW,0.61180000,0.64221180,0.55097640,2026-06-11 01:53:51,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.526 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.64, EMA50=0.65;✅ روند EMA 4h: EMA21=0.66, EMA50=0.71;✅ RSI 30m: RSI=23.73;✅ MACD 30m: MACD_hist=-0.0030;❌ ورود هوشمند پولبک: قیمت=0.6118 EMA=0.6347 RSI=23.7 BS15=0.526;✅ ADX: ADX=78.82 [>25], DI+=81.03, DI-=684.10;✅ CCI عبور از ۰: CCI=-177.57;❌ SAR: SAR=0.6072, قیمت=0.6118;❌ Stochastic کراس: K=9.73 D=3.24;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0169 [>0.007]"
FIL-USDT,SHORT,LOW,0.72160000,0.74932160,0.66615680,2026-06-11 01:53:52,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.641 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.75, EMA50=0.76;✅ روند EMA 4h: EMA21=0.76, EMA50=0.80;✅ RSI 30m: RSI=28.05;✅ MACD 30m: MACD_hist=-0.0025;❌ ورود هوشمند پولبک: قیمت=0.7216 EMA=0.7410 RSI=28.0 BS15=0.641;✅ ADX: ADX=62.95 [>25], DI+=127.61, DI-=561.17;✅ CCI عبور از ۰: CCI=-163.16;✅ SAR: SAR=0.7233, قیمت=0.7216;❌ Stochastic کراس: K=0.00 D=0.00;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0115 [>0.007]"
