symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XRP-USDT,SHORT,LOW,1.31481000,1.32087481,1.30268038,2026-04-05 08:00:20,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.860 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.916 [≥ 0.48];✅ روند EMA 1h: EMA21=1.31, EMA50=1.32;✅ روند EMA 4h: EMA21=1.32, EMA50=1.33;✅ RSI 30m: RSI=49.81;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=1.3148 EMA=1.3149 RSI=49.8 BS15=0.860;✅ ADX: ADX=32.23 [>25], DI+=252.94, DI-=493.53;✅ CCI عبور از ۰: CCI=-86.91;❌ SAR: SAR=1.3133, قیمت=1.3148;❌ Stochastic کراس: K=47.80 D=15.93;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0001 [>0.007]"
TRX-USDT,LONG,LOW,0.31760000,0.31688240,0.31903520,2026-04-05 09:39:41,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.32, EMA50=0.32;✅ روند EMA 4h: EMA21=0.32, EMA50=0.32;✅ RSI 30m: RSI=51.08;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.3176 EMA=0.3176 RSI=51.1 BS15=0.000;✅ ADX: ADX=52.94 [>25], DI+=452.17, DI-=139.13;❌ CCI عبور از ۰: CCI=-33.96;✅ SAR: SAR=0.3173, قیمت=0.3176;✅ Stochastic کراس: K=50.00 D=16.67;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0014 [>0.007]"
BTC-USDT,SHORT,MEDIUM,66992.90000000,67221.69290000,66535.31420000,2026-04-05 13:01:17,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=67067.32, EMA50=67071.57;✅ روند EMA 4h: EMA21=67123.24, EMA50=67467.68;✅ RSI 30m: RSI=46.07;✅ MACD 30m: MACD_hist=-0.1432;❌ ورود هوشمند پولبک: قیمت=66992.9000 EMA=67020.8324 RSI=46.1 BS15=1.000;❌ ADX: ADX=2.64 [>25], DI+=250.67, DI-=264.24;✅ CCI عبور از ۰: CCI=-14.65;❌ SAR: SAR=66900.3880, قیمت=66992.9000;❌ Stochastic کراس: K=65.98 D=21.99;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0008 [>0.007]"
DOT-USDT,SHORT,LOW,1.22530000,1.24672530,1.18244940,2026-04-05 13:01:18,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=1.24, EMA50=1.24;✅ روند EMA 4h: EMA21=1.25, EMA50=1.27;✅ RSI 30m: RSI=26.38;✅ MACD 30m: MACD_hist=-0.0016;❌ ورود هوشمند پولبک: قیمت=1.2253 EMA=1.2369 RSI=26.4 BS15=1.000;✅ ADX: ADX=30.93 [>25], DI+=174.84, DI-=331.41;✅ CCI عبور از ۰: CCI=-96.55;✅ SAR: SAR=1.2254, قیمت=1.2253;❌ Stochastic کراس: K=5.64 D=1.88;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;❌ فیلتر رنج: فاصله EMA=0.0049 [>0.007]"
ETH-USDT,SHORT,MEDIUM,2044.22000000,2055.46422000,2021.73156000,2026-04-05 13:55:09,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.542 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.899 [≥ 0.48];✅ روند EMA 1h: EMA21=2051.21, EMA50=2055.35;✅ روند EMA 4h: EMA21=2058.16, EMA50=2065.02;✅ RSI 30m: RSI=41.77;✅ MACD 30m: MACD_hist=-0.3811;❌ ورود هوشمند پولبک: قیمت=2044.2200 EMA=2048.0775 RSI=41.8 BS15=0.542;❌ ADX: ADX=20.76 [>25], DI+=173.66, DI-=264.65;✅ CCI عبور از ۰: CCI=-41.44;❌ SAR: SAR=2043.0986, قیمت=2044.2200;❌ Stochastic کراس: K=54.25 D=18.08;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0022 [>0.007]"
POL-USDT,SHORT,MEDIUM,0.09040000,0.09149040,0.08821920,2026-04-05 13:55:10,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.09, EMA50=0.09;✅ روند EMA 4h: EMA21=0.09, EMA50=0.09;✅ RSI 30m: RSI=31.48;✅ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.0904 EMA=0.0910 RSI=31.5 BS15=1.000;❌ ADX: ADX=0.00 [>25], DI+=267.65, DI-=267.65;✅ CCI عبور از ۰: CCI=-62.16;❌ SAR: SAR=0.0902, قیمت=0.0904;❌ Stochastic کراس: K=37.04 D=12.35;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0074 [>0.007]"
TRX-USDT,LONG,LOW,0.31770000,0.31698230,0.31913540,2026-04-05 13:55:10,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.32, EMA50=0.32;✅ روند EMA 4h: EMA21=0.32, EMA50=0.32;✅ RSI 30m: RSI=50.49;❌ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.3177 EMA=0.3177 RSI=50.5 BS15=0.667;✅ ADX: ADX=100.00 [>25], DI+=648.96, DI-=0.00;❌ CCI عبور از ۰: CCI=-39.77;✅ SAR: SAR=0.3174, قیمت=0.3177;✅ Stochastic کراس: K=50.00 D=16.67;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0012 [>0.007]"
SOL-USDT,SHORT,MEDIUM,79.84000000,80.44984000,78.62032000,2026-04-05 14:29:55,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.947 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=80.22, EMA50=80.29;✅ روند EMA 4h: EMA21=80.52, EMA50=81.95;✅ RSI 30m: RSI=38.74;✅ MACD 30m: MACD_hist=-0.0073;❌ ورود هوشمند پولبک: قیمت=79.8400 EMA=80.0692 RSI=38.7 BS15=0.947;❌ ADX: ADX=2.56 [>25], DI+=217.48, DI-=206.60;✅ CCI عبور از ۰: CCI=-27.99;❌ SAR: SAR=79.7988, قیمت=79.8400;❌ Stochastic کراس: K=36.84 D=12.28;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0023 [>0.007]"
XLM-USDT,SHORT,LOW,0.15830000,0.15925830,0.15638340,2026-04-05 17:18:06,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.16, EMA50=0.16;✅ روند EMA 4h: EMA21=0.16, EMA50=0.16;✅ RSI 30m: RSI=33.82;✅ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.1583 EMA=0.1591 RSI=33.8 BS15=1.000;✅ ADX: ADX=82.09 [>25], DI+=68.85, DI-=700.00;✅ CCI عبور از ۰: CCI=-74.25;❌ SAR: SAR=0.1578, قیمت=0.1583;❌ Stochastic کراس: K=34.62 D=11.54;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0074 [>0.007]"
SUI-USDT,SHORT,LOW,0.84670000,0.85824670,0.82360660,2026-04-05 17:18:06,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.86, EMA50=0.86;✅ روند EMA 4h: EMA21=0.87, EMA50=0.88;✅ RSI 30m: RSI=33.64;✅ MACD 30m: MACD_hist=-0.0006;❌ ورود هوشمند پولبک: قیمت=0.8467 EMA=0.8532 RSI=33.6 BS15=1.000;✅ ADX: ADX=84.37 [>25], DI+=53.07, DI-=625.88;✅ CCI عبور از ۰: CCI=-134.87;❌ SAR: SAR=0.8422, قیمت=0.8467;❌ Stochastic کراس: K=32.28 D=10.76;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0077 [>0.007]"
