symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ARB-USDT,SHORT,LOW,0.10430000,0.10530430,0.10229140,2026-05-31 09:39:43,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.750 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA50=0.10;✅ روند EMA 4h: EMA21=0.10, EMA50=0.11;✅ RSI 30m: RSI=46.18;❌ MACD 30m: MACD_hist=0.0001;❌ ورود هوشمند پولبک: قیمت=0.1043 EMA=0.1045 RSI=46.2 BS15=0.750;✅ ADX: ADX=39.13 [>25], DI+=197.98, DI-=452.53;❌ CCI عبور از ۰: CCI=4.96;✅ SAR: SAR=0.1045, قیمت=0.1043;❌ Stochastic کراس: K=59.09 D=19.70;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0003 [>0.007]"
BNB-USDT,LONG,MEDIUM,723.97900000,717.26002100,740.77644750,2026-05-31 16:24:46,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.879 [≥ 0.48];✅ روند EMA 1h: EMA21=717.26, EMA50=694.83;✅ روند EMA 4h: EMA21=684.75, EMA50=667.93;✅ RSI 30m: RSI=50.98;❌ MACD 30m: MACD_hist=-1.6555;❌ ورود هوشمند پولبک: قیمت=723.9790 EMA=724.6090 RSI=51.0 BS15=1.000;❌ ADX: ADX=6.47 [>25], DI+=276.29, DI-=314.52;❌ CCI عبور از ۰: CCI=-41.75;✅ SAR: SAR=721.8179, قیمت=723.9790;✅ Stochastic کراس: K=33.30 D=11.10;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0151 [>0.007]"
BNB-USDT,LONG,LOW,725.79900000,717.25820100,742.88059800,2026-05-31 17:55:40,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.198 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.652 [≥ 0.48];✅ روند EMA 1h: EMA21=718.96, EMA50=697.32;✅ روند EMA 4h: EMA21=684.92, EMA50=668.00;✅ RSI 30m: RSI=51.86;❌ MACD 30m: MACD_hist=-0.6852;❌ ورود هوشمند پولبک: قیمت=725.7990 EMA=725.5539 RSI=51.9 BS15=0.198;✅ ADX: ADX=38.87 [>25], DI+=425.60, DI-=187.37;❌ CCI عبور از ۰: CCI=-15.62;❌ SAR: SAR=726.8825, قیمت=725.7990;✅ Stochastic کراس: K=52.82 D=17.61;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0140 [>0.007]"
XLM-USDT,LONG,LOW,0.25580000,0.24224420,0.28291160,2026-05-31 17:55:41,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=0.25, EMA50=0.24;✅ روند EMA 4h: EMA21=0.23, EMA50=0.20;✅ RSI 30m: RSI=57.93;✅ MACD 30m: MACD_hist=0.0017;❌ ورود هوشمند پولبک: قیمت=0.2558 EMA=0.2491 RSI=57.9 BS15=0.500;✅ ADX: ADX=38.46 [>25], DI+=365.22, DI-=162.32;✅ CCI عبور از ۰: CCI=73.03;❌ SAR: SAR=0.2566, قیمت=0.2558;❌ Stochastic کراس: K=69.74 D=23.25;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0160 [>0.007]"
XLM-USDT,LONG,MEDIUM,0.25130000,0.24644870,0.26100260,2026-05-31 19:15:34,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.900 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.900 [≥ 0.48];✅ روند EMA 1h: EMA21=0.25, EMA50=0.24;✅ روند EMA 4h: EMA21=0.23, EMA50=0.20;✅ RSI 30m: RSI=53.00;✅ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.2513 EMA=0.2499 RSI=53.0 BS15=0.900;❌ ADX: ADX=23.81 [>25], DI+=269.88, DI-=438.55;✅ CCI عبور از ۰: CCI=25.11;✅ SAR: SAR=0.2503, قیمت=0.2513;✅ Stochastic کراس: K=47.54 D=15.85;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;❌ Double Top/Bottom: بدون الگو;✅ فیلتر رنج: فاصله EMA=0.0162 [>0.007]"
FIL-USDT,SHORT,LOW,0.92670000,0.96402670,0.85204660,2026-05-31 20:27:23,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.727 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.96, EMA50=0.97;✅ روند EMA 4h: EMA21=0.97, EMA50=0.98;✅ RSI 30m: RSI=24.87;✅ MACD 30m: MACD_hist=-0.0028;❌ ورود هوشمند پولبک: قیمت=0.9267 EMA=0.9524 RSI=24.9 BS15=0.727;✅ ADX: ADX=62.97 [>25], DI+=158.03, DI-=695.55;✅ CCI عبور از ۰: CCI=-191.75;✅ SAR: SAR=0.9291, قیمت=0.9267;❌ Stochastic کراس: K=5.33 D=1.78;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0110 [>0.007]"
ARB-USDT,SHORT,LOW,0.10140000,0.10360140,0.09699720,2026-05-31 21:28:56,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA50=0.10;✅ روند EMA 4h: EMA21=0.10, EMA50=0.11;✅ RSI 30m: RSI=38.47;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.1014 EMA=0.1022 RSI=38.5 BS15=1.000;✅ ADX: ADX=55.81 [>25], DI+=179.73, DI-=633.78;✅ CCI عبور از ۰: CCI=-71.15;❌ SAR: SAR=0.1006, قیمت=0.1014;❌ Stochastic کراس: K=34.38 D=11.46;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0090 [>0.007]"
SUI-USDT,SHORT,LOW,0.87590000,0.90737590,0.81294820,2026-05-31 21:28:57,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.043 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.538 [≥ 0.48];✅ روند EMA 1h: EMA21=0.90, EMA50=0.91;✅ روند EMA 4h: EMA21=0.92, EMA50=0.96;✅ RSI 30m: RSI=32.74;✅ MACD 30m: MACD_hist=-0.0022;❌ ورود هوشمند پولبک: قیمت=0.8759 EMA=0.8897 RSI=32.7 BS15=0.043;✅ ADX: ADX=57.24 [>25], DI+=163.53, DI-=601.28;✅ CCI عبور از ۰: CCI=-85.01;❌ SAR: SAR=0.8695, قیمت=0.8759;❌ Stochastic کراس: K=46.06 D=15.35;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0104 [>0.007]"
FIL-USDT,SHORT,LOW,0.92980000,0.96352980,0.86234040,2026-05-31 21:28:57,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.571 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=0.96, EMA50=0.97;✅ روند EMA 4h: EMA21=0.97, EMA50=0.98;✅ RSI 30m: RSI=27.48;✅ MACD 30m: MACD_hist=-0.0024;❌ ورود هوشمند پولبک: قیمت=0.9298 EMA=0.9485 RSI=27.5 BS15=0.571;✅ ADX: ADX=55.83 [>25], DI+=180.78, DI-=637.86;✅ CCI عبور از ۰: CCI=-119.69;❌ SAR: SAR=0.9247, قیمت=0.9298;❌ Stochastic کراس: K=13.20 D=4.40;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0124 [>0.007]"
