symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ARB-USDT,SHORT,ریسک بالا,0.18970000,0.19027000,0.18856000,2025-12-21 00:09:13,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.190519,30m:EMA55=0.190038,1h:EMA21=0.190369,1h:EMA55=0.18919,4h:EMA21=0.190214,4h:EMA55=0.196227 | TF_RSI=5m:RSI=39.1,15m:RSI=39.97,30m:RSI=43.14,1h:RSI=48.36,4h:RSI=47.77 | TF_MACD=5m:MACD=-0.000183,5m:HIST=-7e-06,15m:MACD=-0.00032,15m:HIST=-4.9e-05,30m:MACD=-0.000311,30m:HIST=-0.000153,1h:MACD=0.000438,1h:HIST=-0.000438,4h:MACD=-0.001373,4h:HIST=0.001228 | BS15=0.0 | RulesPassed=روند 1h;EMA21 30m;RSI;عدم واگرایی | Reasons=ساختار LH/LL در 3 کندل 1h|قیمت همسو با EMA21 در 30m + شیب مناسب|RSI: 5/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
XAUT-USDT,SHORT,ریسک بالا,4344.60000000,4346.06301120,4341.67397760,2025-12-21 00:09:13,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=4345.884614,30m:EMA55=4344.36389,1h:EMA21=4345.198606,1h:EMA55=4340.332373,4h:EMA21=4336.642739,4h:EMA55=4311.322601 | TF_RSI=5m:RSI=45.6,15m:RSI=44.15,30m:RSI=46.69,1h:RSI=50.4,4h:RSI=58.2 | TF_MACD=5m:MACD=-0.802659,5m:HIST=-0.223245,15m:MACD=-0.678242,15m:HIST=-0.334016,30m:MACD=-0.297332,30m:HIST=-0.49778,1h:MACD=1.466808,1h:HIST=-0.605765,4h:MACD=8.586048,4h:HIST=-0.454478 | BS15=0.0 | RulesPassed=روند 4h;روند 1h;RSI;MACD | Reasons=ساختار LH/LL در 3 کندل 4h|ساختار LH/LL در 3 کندل 1h|RSI: 3/5 همسو + 0 خیلی قوی [آستانه 70/30]|MACD: 3/5 همسو + 2 شدت قوی + گیت هیستوگرام"
NEAR-USDT,SHORT,ریسک بالا,1.50680000,1.51383680,1.49272640,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.514181,30m:EMA55=1.515884,1h:EMA21=1.515436,1h:EMA55=1.513333,4h:EMA21=1.519006,4h:EMA55=1.56666 | TF_RSI=5m:RSI=53.44,15m:RSI=43.31,30m:RSI=42.69,1h:RSI=45.45,4h:RSI=46.37 | TF_MACD=5m:MACD=-0.002274,5m:HIST=0.001807,15m:MACD=-0.00506,15m:HIST=-0.001386,30m:MACD=-0.003889,30m:HIST=-0.002116,1h:MACD=-0.001946,1h:HIST=-0.00259,4h:MACD=-0.008432,4h:HIST=0.005455 | BS15=0.508 | RulesPassed=EMA21 30m;کندل قوی 15m;RSI;عدم واگرایی | Reasons=قیمت همسو با EMA21 در 30m + شیب مناسب|قدرت کندل 15m = 0.51 [حد > 0.4]|RSI: 4/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
LTC-USDT,SHORT,ریسک بالا,77.29000000,77.60201560,76.66596880,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=77.447525,30m:EMA55=77.222801,1h:EMA21=77.312131,1h:EMA55=77.007227,4h:EMA21=77.106206,4h:EMA55=78.467918 | TF_RSI=5m:RSI=50.79,15m:RSI=45.15,30m:RSI=47.48,1h:RSI=50.81,4h:RSI=49.96 | TF_MACD=5m:MACD=-0.100249,5m:HIST=0.054077,15m:MACD=-0.127421,15m:HIST=-0.081221,30m:MACD=0.035701,30m:HIST=-0.097113,1h:MACD=0.166575,1h:HIST=-0.047661,4h:MACD=-0.207832,4h:HIST=0.28828 | BS15=0.567 | RulesPassed=EMA21 30m;کندل قوی 15m;RSI;عدم واگرایی | Reasons=قیمت همسو با EMA21 در 30m + شیب مناسب|قدرت کندل 15m = 0.57 [حد > 0.4]|RSI: 3/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
XLM-USDT,SHORT,ریسک بالا,0.21700000,0.21762040,0.21575920,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.218078,30m:EMA55=0.218429,1h:EMA21=0.218426,1h:EMA55=0.217697,4h:EMA21=0.217892,4h:EMA55=0.223655 | TF_RSI=5m:RSI=49.09,15m:RSI=38.98,30m:RSI=38.14,1h:RSI=42.35,4h:RSI=46.84 | TF_MACD=5m:MACD=-0.000205,5m:HIST=0.00011,15m:MACD=-0.000522,15m:HIST=-7.8e-05,30m:MACD=-0.000628,30m:HIST=-0.000155,1h:MACD=-0.000359,1h:HIST=-0.000423,4h:MACD=-0.000616,4h:HIST=0.000858 | BS15=0.2 | RulesPassed=روند 4h;EMA21 30m;RSI;عدم واگرایی | Reasons=ساختار LH/LL در 3 کندل 4h|قیمت همسو با EMA21 در 30m + شیب مناسب|RSI: 5/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
ADA-USDT,SHORT,ریسک بالا,0.37000000,0.37145680,0.36708640,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.372934,30m:EMA55=0.373719,1h:EMA21=0.373623,1h:EMA55=0.372764,4h:EMA21=0.373904,4h:EMA55=0.386832 | TF_RSI=5m:RSI=50.39,15m:RSI=37.55,30m:RSI=35.45,1h:RSI=39.92,4h:RSI=44.24 | TF_MACD=5m:MACD=-0.00042,5m:HIST=0.000316,15m:MACD=-0.001565,15m:HIST=-9.9e-05,30m:MACD=-0.001737,30m:HIST=-0.000576,1h:MACD=-0.000753,1h:HIST=-0.001138,4h:MACD=-0.002581,4h:HIST=0.001802 | BS15=0.273 | RulesPassed=روند 4h;EMA21 30m;RSI;عدم واگرایی | Reasons=ساختار LH/LL در 3 کندل 4h|قیمت همسو با EMA21 در 30m + شیب مناسب|RSI: 4/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
OP-USDT,SHORT,ریسک بالا,0.27560000,0.27645680,0.27388640,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.277563,30m:EMA55=0.27792,1h:EMA21=0.277871,1h:EMA55=0.2772,4h:EMA21=0.278539,4h:EMA55=0.288749 | TF_RSI=5m:RSI=55.91,15m:RSI=41.7,30m:RSI=40.33,1h:RSI=44.16,4h:RSI=45.1 | TF_MACD=5m:MACD=-0.000385,5m:HIST=0.000266,15m:MACD=-0.001232,15m:HIST=-8.8e-05,30m:MACD=-0.001272,30m:HIST=-0.000497,1h:MACD=-0.000347,1h:HIST=-0.000881,4h:MACD=-0.002595,4h:HIST=0.001639 | BS15=0.0 | RulesPassed=روند 4h;EMA21 30m;RSI;عدم واگرایی | Reasons=ساختار LH/LL در 3 کندل 4h|قیمت همسو با EMA21 در 30m + شیب مناسب|RSI: 4/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
SUI-USDT,SHORT,ریسک بالا,1.44680000,1.45269560,1.43500880,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.452597,30m:EMA55=1.455091,1h:EMA21=1.455169,1h:EMA55=1.450239,4h:EMA21=1.453984,4h:EMA55=1.489492 | TF_RSI=5m:RSI=54.56,15m:RSI=45.14,30m:RSI=42.8,1h:RSI=44.75,4h:RSI=46.94 | TF_MACD=5m:MACD=-0.001489,5m:HIST=0.001387,15m:MACD=-0.004073,15m:HIST=-0.000626,30m:MACD=-0.004827,30m:HIST=-0.001211,1h:MACD=-0.002366,1h:HIST=-0.003241,4h:MACD=-0.005791,4h:HIST=0.006853 | BS15=0.5 | RulesPassed=EMA21 30m;کندل قوی 15m;RSI;عدم واگرایی | Reasons=قیمت همسو با EMA21 در 30m + شیب مناسب|قدرت کندل 15m = 0.50 [حد > 0.4]|RSI: 4/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
ARB-USDT,SHORT,ریسک بالا,0.18880000,0.18956080,0.18727840,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=0.189475,30m:EMA55=0.189722,1h:EMA21=0.189712,1h:EMA55=0.189171,4h:EMA21=0.190094,4h:EMA55=0.195966 | TF_RSI=5m:RSI=56.12,15m:RSI=46.73,30m:RSI=43.45,1h:RSI=45.58,4h:RSI=46.52 | TF_MACD=5m:MACD=-0.000154,5m:HIST=0.000164,15m:MACD=-0.000504,15m:HIST=-4.5e-05,30m:MACD=-0.000601,30m:HIST=-0.000151,1h:MACD=-0.000239,1h:HIST=-0.000418,4h:MACD=-0.001334,4h:HIST=0.001012 | BS15=0.833 | RulesPassed=روند 4h;EMA21 30m;کندل قوی 15m;RSI;عدم واگرایی | Reasons=ساختار LH/LL در 3 کندل 4h|قیمت همسو با EMA21 در 30m + شیب مناسب|قدرت کندل 15m = 0.83 [حد > 0.4]|RSI: 4/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
ATOM-USDT,SHORT,ریسک بالا,1.97340000,1.98057240,1.95905520,2025-12-21 06:53:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.97832,30m:EMA55=1.971338,1h:EMA21=1.974741,1h:EMA55=1.961192,4h:EMA21=1.966767,4h:EMA55=2.034364 | TF_RSI=5m:RSI=53.3,15m:RSI=46.52,30m:RSI=46.85,1h:RSI=50.83,4h:RSI=49.54 | TF_MACD=5m:MACD=-0.002231,5m:HIST=0.001626,15m:MACD=-0.004259,15m:HIST=-0.001553,30m:MACD=-0.001285,30m:HIST=-0.002515,1h:MACD=0.005021,1h:HIST=-0.003383,4h:MACD=-0.010033,4h:HIST=0.013478 | BS15=0.581 | RulesPassed=EMA21 30m;کندل قوی 15m;RSI;عدم واگرایی | Reasons=قیمت همسو با EMA21 در 30m + شیب مناسب|قدرت کندل 15m = 0.58 [حد > 0.4]|RSI: 3/5 همسو + 0 خیلی قوی [آستانه 70/30]|بدون واگرایی در 1h و 4h"
