symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ATOM-USDT,LONG,MEDIUM,2.04000000,2.00536000,2.10928000,2026-05-17 09:11:33,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.901 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=2.02, EMA50=2.00;✅ روند EMA 4h: EMA21=2.01, EMA50=2.00;✅ RSI 30m: RSI=54.05;❌ MACD 30m: MACD_hist=-0.0012;❌ ورود هوشمند پولبک: قیمت=2.0400 EMA=2.0349 RSI=54.1 BS15=0.901;❌ ADX: ADX=17.89 [>25], DI+=264.97, DI-=184.56;✅ CCI عبور از ۰: CCI=21.30;❌ SAR: SAR=2.0462, قیمت=2.0400;✅ Stochastic کراس: K=49.17 D=16.39;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0111 [>0.007]"
XAUT-USDT,SHORT,MEDIUM,4532.94000000,4543.26294000,4512.29412000,2026-05-17 11:40:38,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=4536.66, EMA50=4555.49;✅ روند EMA 4h: EMA21=4576.91, EMA50=4620.34;✅ RSI 30m: RSI=44.36;✅ MACD 30m: MACD_hist=-0.3079;❌ ورود هوشمند پولبک: قیمت=4532.9400 EMA=4534.7792 RSI=44.4 BS15=1.000;❌ ADX: ADX=37.86 [>25], DI+=411.49, DI-=185.46;✅ CCI عبور از ۰: CCI=-69.61;✅ SAR: SAR=4533.3516, قیمت=4532.9400;❌ Stochastic کراس: K=47.03 D=15.68;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0009 [>0.007]"
ATOM-USDT,LONG,LOW,2.08010000,2.02571990,2.18886020,2026-05-17 11:40:38,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.542 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=2.03, EMA50=2.01;✅ روند EMA 4h: EMA21=2.02, EMA50=2.00;✅ RSI 30m: RSI=66.20;✅ MACD 30m: MACD_hist=0.0014;❌ ورود هوشمند پولبک: قیمت=2.0801 EMA=2.0460 RSI=66.2 BS15=0.542;✅ ADX: ADX=47.57 [>25], DI+=406.16, DI-=144.31;✅ CCI عبور از ۰: CCI=164.71;✅ SAR: SAR=2.0637, قیمت=2.0801;❌ Stochastic کراس: K=100.00 D=33.33;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0118 [>0.007]"
ATOM-USDT,LONG,LOW,2.10590000,2.02569410,2.26631180,2026-05-17 13:35:38,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.505 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.524 [≥ 0.48];✅ روند EMA 1h: EMA21=2.04, EMA50=2.02;✅ روند EMA 4h: EMA21=2.02, EMA50=2.01;✅ RSI 30m: RSI=69.98;✅ MACD 30m: MACD_hist=0.0040;❌ ورود هوشمند پولبک: قیمت=2.1059 EMA=2.0630 RSI=70.0 BS15=0.505;✅ ADX: ADX=50.36 [>25], DI+=414.37, DI-=136.78;✅ CCI عبور از ۰: CCI=142.16;✅ SAR: SAR=2.0792, قیمت=2.1059;❌ Stochastic کراس: K=97.14 D=32.38;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0142 [>0.007]"
ATOM-USDT,LONG,MEDIUM,2.08490000,2.04021510,2.17426980,2026-05-17 15:06:35,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.266 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.942 [≥ 0.48];✅ روند EMA 1h: EMA21=2.05, EMA50=2.02;✅ روند EMA 4h: EMA21=2.02, EMA50=2.00;✅ RSI 30m: RSI=59.49;✅ MACD 30m: MACD_hist=0.0003;❌ ورود هوشمند پولبک: قیمت=2.0849 EMA=2.0691 RSI=59.5 BS15=0.266;❌ ADX: ADX=4.35 [>25], DI+=217.41, DI-=199.29;✅ CCI عبور از ۰: CCI=61.79;✅ SAR: SAR=2.0732, قیمت=2.0849;✅ Stochastic کراس: K=53.31 D=17.77;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0143 [>0.007]"
