symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ADA-USDT,SHORT,MEDIUM,0.14480000,0.14524480,0.14391040,2026-06-30 09:32:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.15, EMA50=0.15;✅ روند EMA 4h: EMA21=0.15, EMA50=0.15;✅ RSI 30m: RSI=45.90;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.1448 EMA=0.1451 RSI=45.9 BS15=1.000;❌ ADX: ADX=18.28 [>25], DI+=373.79, DI-=258.25;✅ CCI عبور از ۰: CCI=-34.73;❌ SAR: SAR=0.1441, قیمت=0.1448;❌ Stochastic کراس: K=41.67 D=13.89;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0010 [>0.007]"
POL-USDT,SHORT,MEDIUM,0.07010000,0.07027010,0.06975980,2026-06-30 09:32:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.07, EMA50=0.07;✅ روند EMA 4h: EMA21=0.07, EMA50=0.07;✅ RSI 30m: RSI=44.95;❌ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.0701 EMA=0.0703 RSI=44.9 BS15=1.000;❌ ADX: ADX=11.76 [>25], DI+=369.44, DI-=291.67;✅ CCI عبور از ۰: CCI=-21.08;❌ SAR: SAR=0.0696, قیمت=0.0701;❌ Stochastic کراس: K=50.00 D=16.67;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0071 [>0.007]"
OP-USDT,SHORT,MEDIUM,0.09880000,0.09959880,0.09720240,2026-06-30 09:32:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA50=0.10;✅ روند EMA 4h: EMA21=0.10, EMA50=0.10;✅ RSI 30m: RSI=36.78;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.0988 EMA=0.0996 RSI=36.8 BS15=1.000;❌ ADX: ADX=34.38 [>25], DI+=439.42, DI-=214.60;✅ CCI عبور از ۰: CCI=-61.94;❌ SAR: SAR=0.0986, قیمت=0.0988;❌ Stochastic کراس: K=18.18 D=6.06;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0082 [>0.007]"
XLM-USDT,LONG,MEDIUM,0.18670000,0.17801330,0.20407340,2026-06-30 22:44:34,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=0.18, EMA50=0.18;❌ روند EMA 4h: EMA21=0.18, EMA50=0.18;✅ RSI 30m: RSI=62.28;✅ MACD 30m: MACD_hist=0.0009;❌ ورود هوشمند پولبک: قیمت=0.1867 EMA=0.1818 RSI=62.3 BS15=0.500;✅ ADX: ADX=59.04 [>25], DI+=389.87, DI-=100.42;✅ CCI عبور از ۰: CCI=148.48;✅ SAR: SAR=0.1852, قیمت=0.1867;❌ Stochastic کراس: K=88.28 D=29.43;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0111 [>0.007]"
