symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
ADA-USDT,LONG,HIGH,0.24510000,0.24204369,0.25121263,2026-09-22 04:33:32,1790039013,TP_HIT,1790038953,2026-09-22 07:36:00,0.25108702,0.2000,2.2427,10.00,10.00,100.00,22.4269,33641,33648,order_flow=0.61:buyVol=2569712 sellVol=1355062 delta=+0.31 closePos=0.55 | volume_profile=0.85:POC=0.227825 VA[0.2182..0.242583] price=0.2451 | sweep=0.90:sweep=swept low 0.2437 5 bars ago | liquidity=0.65:eq-highs magnet @ 0.2476 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.127 of [0.2182..0.249] | supply_demand=1.00:zone=demand [0.2418..0.2452] 0.5 ATR below | moving_average=1.00:price=0.2451 EMA21=0.244071 EMA50=0.23987 slope=+0.00104 | macd=0.30:MACD=0.00166469 sig=0.00199683 hist=-0.000332145 | rsi=0.55:RSI=55.5 | pattern=0.00:pattern=BEARISH_ENGULFING | ai_committee=0.50:AI unavailable: no API keys configured
POL-USDT,LONG,HIGH,0.11100000,0.10886706,0.11526588,2026-09-22 04:33:36,1790039016,STOP_HIT,1790038956,2026-09-22 08:48:00,0.10881263,0.2000,-2.1706,10.00,10.00,100.00,-21.7061,33642,33649,"order_flow=0.64:buyVol=1246736 sellVol=573113 delta=+0.37 closePos=0.58 | volume_profile=0.95:POC=0.108802 VA[0.103508..0.111071] price=0.111 | sweep=0.82:sweep=swept low 0.1115 7 bars ago | liquidity=1.00:eq-lows fuel @ 0.1097, eq-highs magnet @ 0.113 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.298 of [0.1025..0.1146] | supply_demand=0.79:zone=demand [0.1099..0.1108] 0.6 ATR below | moving_average=0.70:price=0.111 EMA21=0.111688 EMA50=0.110537 slope=+0.000221 | macd=0.00:MACD=0.000285973 sig=0.000429022 hist=-0.000143049 | rsi=0.35:RSI=46.3 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
AVAX-USDT,LONG,HIGH,11.14000000,10.74330675,11.93338650,2026-09-22 04:33:39,1790039020,STOP_HIT,1790038960,2026-09-22 08:30:00,10.73793510,0.2000,-3.8092,10.00,10.00,100.00,-38.0920,33643,33650,"order_flow=0.58:buyVol=183202 sellVol=139167 delta=+0.14 closePos=0.60 | volume_profile=0.45:POC=11.1937 VA[9.71767..11.795] price=11.14 | sweep=0.84:sweep=swept low 11.139 1 bars ago | liquidity=1.00:eq-lows fuel @ 11.047, eq-highs magnet @ 11.3795 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.250 of [9.171..11.795] | supply_demand=1.00:zone=demand [11.117..11.409] -0.9 ATR below | moving_average=0.70:price=11.14 EMA21=11.1648 EMA50=11.09 slope=+0.0287 | macd=0.70:MACD=0.0105827 sig=0.00131606 hist=0.00926663 | rsi=0.35:RSI=48.6 | pattern=0.50:pattern=DOJI | ai_committee=0.50:AI unavailable: no API keys configured"
NEAR-USDT,LONG,HIGH,4.31150000,4.00573402,4.92303196,2026-09-22 04:33:43,1790039024,OPEN,1790247480,,,,,10.00,10.00,100.00,,33644,,order_flow=0.68:buyVol=1715568 sellVol=715997 delta=+0.41 closePos=0.63 | volume_profile=0.95:POC=4.25747 VA[3.62871..4.4526] price=4.3115 | sweep=0.95:sweep=swept low 4.2107 5 bars ago | liquidity=0.35:no pools in range | fvg=0.59:fvg=bull FVG [4.1879..4.2464] 1.0 ATR | fibonacci=0.40:retr=0.136 of [3.4119..4.4526] | supply_demand=0.63:zone=demand [4.1662..4.2459] 1.1 ATR below | moving_average=1.00:price=4.3115 EMA21=4.18358 EMA50=4.13794 slope=+0.0676 | macd=1.00:MACD=0.0357323 sig=0.00794086 hist=0.0277914 | rsi=0.55:RSI=61.5 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured
APT-USDT,LONG,HIGH,0.77750000,0.74513443,0.84223114,2026-09-22 04:33:45,1790039028,TP_HIT,1790115600,2026-09-23 03:42:00,0.84181002,0.2000,8.0714,10.00,10.00,100.00,80.7139,33645,33658,order_flow=0.69:buyVol=128569 sellVol=52992 delta=+0.42 closePos=0.65 | volume_profile=0.95:POC=0.772835 VA[0.728779..0.783325] price=0.7775 | sweep=0.35:sweep=none | liquidity=0.65:eq-highs magnet @ 0.791 | fvg=0.68:fvg=bull FVG [0.7682..0.7708] 0.7 ATR | fibonacci=0.75:retr=0.308 of [0.7078..0.8085] | supply_demand=1.00:zone=demand [0.7682..0.7812] 0.2 ATR below | moving_average=0.70:price=0.7775 EMA21=0.778343 EMA50=0.767798 slope=+0.0083 | macd=0.70:MACD=0.0061889 sig=0.00528276 hist=0.000906139 | rsi=0.55:RSI=50.9 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured
ARB-USDT,LONG,HIGH,0.22380000,0.21993259,0.23153481,2026-09-22 04:33:49,1790039031,STOP_HIT,1790038971,2026-09-22 04:34:00,0.21982262,0.2000,-1.9772,10.00,10.00,100.00,-19.7720,33646,33651,order_flow=0.45:buyVol=9189481 sellVol=13965564 delta=-0.21 closePos=0.52 | volume_profile=0.95:POC=0.2189 VA[0.2093..0.230633] price=0.2238 | sweep=0.94:sweep=swept low 0.2233 6 bars ago | liquidity=0.70:eq-lows fuel @ 0.2206 | fvg=0.35:fvg=none | fibonacci=1.00:retr=0.467 of [0.1965..0.2477] | supply_demand=1.00:zone=demand [0.218..0.2246] 0.6 ATR below | moving_average=0.45:price=0.2238 EMA21=0.226054 EMA50=0.223941 slope=-0.000451 | macd=0.30:MACD=-0.000317961 sig=0.000141857 hist=-0.000459818 | rsi=0.35:RSI=46.3 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured
OP-USDT,LONG,MEDIUM,0.12640000,0.12295085,0.13364322,2026-09-22 04:33:52,1790039035,STOP_HIT,1790055900,2026-09-22 13:54:00,0.12288937,0.2000,-2.9774,10.00,10.00,100.00,-29.7739,33647,33652,"order_flow=0.81:buyVol=669164 sellVol=89376 delta=+0.76 closePos=0.70 | volume_profile=0.45:POC=0.127787 VA[0.12185..0.1281] price=0.1264 | sweep=0.94:sweep=swept low 0.1266 6 bars ago | liquidity=1.00:eq-lows fuel @ 0.1232, eq-highs magnet @ 0.127675 | fvg=0.71:fvg=bull FVG [0.1253..0.1256] 0.6 ATR | fibonacci=1.00:retr=0.447 of [0.1181..0.1331] | supply_demand=1.00:zone=demand [0.1255..0.1287] -0.4 ATR below | moving_average=0.70:price=0.1264 EMA21=0.126537 EMA50=0.12636 slope=+0.000615 | macd=0.70:MACD=6.2492e-05 sig=-0.000144675 hist=0.000207167 | rsi=0.35:RSI=49.3 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: no API keys configured"
BTC-USDT,LONG,MEDIUM,86242.40000000,85699.09811856,87383.33395103,2026-09-22 18:52:52,1790090572,STOP_HIT,1790158260,2026-09-23 13:53:00,85656.24856950,0.2000,-0.8797,10.00,10.00,100.00,-8.7966,33653,33673,"order_flow=0.58:buyVol=601 sellVol=380 delta=+0.23 closePos=0.53 | volume_profile=0.95:POC=86035.2 VA[81045.7..87396] price=86242.4 | sweep=0.98:sweep=swept low 86307.2 3 bars ago | liquidity=1.00:eq-lows fuel @ 85142.4, eq-highs magnet @ 86348.9 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.159 of [80138.5..87396] | supply_demand=1.00:zone=demand [85742.7..86345.9] 0.5 ATR below | moving_average=1.00:price=86242.4 EMA21=85913.5 EMA50=85462.2 slope=+125 | macd=1.00:MACD=123.5 sig=95.4448 hist=28.0548 | rsi=0.55:RSI=56.5 | pattern=0.55:pattern=NONE | ai_committee=0.69:AI 3 approve/1 reject score=0.68 | openrouter: APPROVE 85% — All trader rules satisfied: assumed higher‑timefra | mistral: REJECT 95% — No unmitigated zone interaction (FVG/sweep/supply/ | cerebras: FAIL — qwen-3-32b: HTTP 404: {""message"":""Model does not exist or yo | groq: APPRO"
BNB-USDT,LONG,MEDIUM,786.83600000,783.96171254,792.87200367,2026-09-22 18:53:02,1790090583,STOP_HIT,1790103600,2026-09-23 01:32:00,783.56973168,0.2000,-0.6151,10.00,10.00,100.00,-6.1511,33654,33657,"order_flow=0.56:buyVol=1890 sellVol=1565 delta=+0.09 closePos=0.58 | volume_profile=0.95:POC=749.892 VA[746.061..789.473] price=786.836 | sweep=1.00:sweep=swept low 786.018 1 bars ago | liquidity=1.00:eq-lows fuel @ 783.288, eq-highs magnet @ 789.295 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.335 of [746.061..807.349] | supply_demand=0.35:zone=none | moving_average=0.70:price=786.836 EMA21=788.427 EMA50=788.397 slope=+0.137 | macd=0.70:MACD=-0.802452 sig=-1.20423 hist=0.401777 | rsi=0.35:RSI=45.8 | pattern=0.70:pattern=DOJI | ai_committee=0.64:AI 3 approve/1 reject score=0.64 | openrouter: APPROVE 85% — R:R meets minimum (2.0), low volatility (ATR% 0.00 | mistral: REJECT 95% — FVG/supply-demand missing; ATR% too low (0.0052) v | cerebras: FAIL — qwen-3-32b: HTTP 404: {""message"":""Model does not exist or yo | groq: APPRO"
ADA-USDT,LONG,MEDIUM,0.25050000,0.24326828,0.26568660,2026-09-22 18:53:24,1790090604,STOP_HIT,1790158260,2026-09-23 17:41:00,0.24314665,0.2000,-3.1355,10.00,10.00,100.00,-31.3547,33655,33674,"order_flow=0.67:buyVol=3561816 sellVol=1502491 delta=+0.41 closePos=0.61 | volume_profile=0.95:POC=0.244523 VA[0.231738..0.2543] price=0.2505 | sweep=0.73:sweep=swept low 0.2442 8 bars ago | liquidity=0.70:eq-lows fuel @ 0.24045 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.105 of [0.2182..0.2543] | supply_demand=1.00:zone=demand [0.248..0.2507] 0.3 ATR below | moving_average=1.00:price=0.2505 EMA21=0.247747 EMA50=0.244938 slope=+0.00193 | macd=1.00:MACD=0.00146137 sig=0.00103721 hist=0.000424157 | rsi=0.55:RSI=57.6 | pattern=1.00:pattern=HAMMER | ai_committee=0.67:AI 3 approve/1 reject score=0.67 | openrouter: APPROVE 85% — HTF trend bullish (EMA21>EMA50, MACD up), strong o | mistral: REJECT 95% — No higher-timeframe trend confirmation; weak FVG ( | cerebras: FAIL — qwen-3-32b: HTTP 404: {""message"":""Model does not exist or yo | groq: APPRO"
