symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
NEAR-USDT,SHORT,MEDIUM,1.88370000,1.90948370,1.83213260,2026-07-11 01:02:10,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.923 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.923 [≥ 0.48];✅ روند EMA 1h: EMA21=1.91, EMA50=1.92;✅ روند EMA 4h: EMA21=1.92, EMA50=1.94;✅ RSI 30m: RSI=41.11;✅ MACD 30m: MACD_hist=-0.0007;❌ ورود هوشمند پولبک: قیمت=1.8837 EMA=1.8943 RSI=41.1 BS15=0.923;❌ ADX: ADX=20.32 [>25], DI+=374.07, DI-=247.74;✅ CCI عبور از ۰: CCI=-56.58;❌ SAR: SAR=1.8715, قیمت=1.8837;❌ Stochastic کراس: K=51.81 D=17.27;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0077 [>0.007]"
ETH-USDT,LONG,MEDIUM,1797.14000000,1792.89286000,1805.63428000,2026-07-11 14:08:43,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=1793.23, EMA50=1781.60;❌ روند EMA 4h: EMA21=1775.57, EMA50=1751.34;✅ RSI 30m: RSI=51.16;❌ MACD 30m: MACD_hist=-0.5065;❌ ورود هوشمند پولبک: قیمت=1797.1400 EMA=1797.4449 RSI=51.2 BS15=1.000;✅ ADX: ADX=31.14 [>25], DI+=424.08, DI-=222.69;✅ CCI عبور از ۰: CCI=3.32;✅ SAR: SAR=1795.5328, قیمت=1797.1400;✅ Stochastic کراس: K=26.92 D=8.97;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0033 [>0.007]"
POL-USDT,LONG,MEDIUM,0.07990000,0.07962010,0.08045980,2026-07-11 16:27:25,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.08, EMA50=0.08;❌ روند EMA 4h: EMA21=0.08, EMA50=0.08;✅ RSI 30m: RSI=51.51;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.0799 EMA=0.0799 RSI=51.5 BS15=0.000;❌ ADX: ADX=68.42 [>25], DI+=73.68, DI-=392.98;❌ CCI عبور از ۰: CCI=-111.46;✅ SAR: SAR=0.0797, قیمت=0.0799;✅ Stochastic کراس: K=25.00 D=8.33;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0073 [>0.007]"
