symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ADA-USDT,SHORT,MEDIUM,0.23780000,0.23933780,0.23472440,2026-04-13 08:22:24,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.24, EMA50=0.24;✅ روند EMA 4h: EMA21=0.25, EMA50=0.25;✅ RSI 30m: RSI=45.11;❌ MACD 30m: MACD_hist=0.0002;❌ ورود هوشمند پولبک: قیمت=0.2378 EMA=0.2383 RSI=45.1 BS15=1.000;❌ ADX: ADX=49.18 [>25], DI+=528.63, DI-=180.08;❌ CCI عبور از ۰: CCI=21.00;✅ SAR: SAR=0.2380, قیمت=0.2378;❌ Stochastic کراس: K=54.76 D=18.25;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0082 [>0.007]"
OP-USDT,SHORT,MEDIUM,0.10640000,0.10830640,0.10258720,2026-04-13 08:22:25,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.750 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.11, EMA50=0.11;✅ روند EMA 4h: EMA21=0.11, EMA50=0.11;✅ RSI 30m: RSI=39.12;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.1064 EMA=0.1073 RSI=39.1 BS15=0.750;❌ ADX: ADX=26.98 [>25], DI+=523.36, DI-=300.93;✅ CCI عبور از ۰: CCI=-78.12;❌ SAR: SAR=0.1063, قیمت=0.1064;❌ Stochastic کراس: K=14.29 D=4.76;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0103 [>0.007]"
OP-USDT,SHORT,MEDIUM,0.10680000,0.10810680,0.10418640,2026-04-13 10:39:43,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.11, EMA50=0.11;✅ روند EMA 4h: EMA21=0.11, EMA50=0.11;✅ RSI 30m: RSI=45.41;❌ MACD 30m: MACD_hist=0.0001;❌ ورود هوشمند پولبک: قیمت=0.1068 EMA=0.1072 RSI=45.4 BS15=1.000;❌ ADX: ADX=1.37 [>25], DI+=413.11, DI-=424.59;✅ CCI عبور از ۰: CCI=-8.48;✅ SAR: SAR=0.1071, قیمت=0.1068;❌ Stochastic کراس: K=44.00 D=14.67;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0092 [>0.007]"
DOGE-USDT,SHORT,LOW,0.09086000,0.09160086,0.08937828,2026-04-13 14:29:40,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.632 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.09, EMA50=0.09;✅ روند EMA 4h: EMA21=0.09, EMA50=0.09;✅ RSI 30m: RSI=43.80;✅ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.0909 EMA=0.0911 RSI=43.8 BS15=0.632;✅ ADX: ADX=71.32 [>25], DI+=68.85, DI-=411.35;✅ CCI عبور از ۰: CCI=-91.34;✅ SAR: SAR=0.0909, قیمت=0.0909;❌ Stochastic کراس: K=16.67 D=5.56;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0020 [>0.007]"
