symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
FIL-USDT,LONG,MEDIUM,0.74630000,0.73825370,0.76239260,2026-07-27 09:10:52,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.900 [≥ 0.48];✅ روند EMA 1h: EMA21=0.74, EMA50=0.74;❌ روند EMA 4h: EMA21=0.74, EMA50=0.74;✅ RSI 30m: RSI=50.76;✅ MACD 30m: MACD_hist=0.0002;❌ ورود هوشمند پولبک: قیمت=0.7463 EMA=0.7465 RSI=50.8 BS15=1.000;❌ ADX: ADX=64.14 [>25], DI+=91.92, DI-=420.71;✅ CCI عبور از ۰: CCI=33.88;❌ SAR: SAR=0.7466, قیمت=0.7463;✅ Stochastic کراس: K=41.95 D=13.98;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0037 [>0.007]"
ETH-USDT,LONG,MEDIUM,1960.73000000,1950.53927000,1981.11146000,2026-07-27 13:02:52,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.698 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.698 [≥ 0.48];✅ روند EMA 1h: EMA21=1938.64, EMA50=1913.83;✅ روند EMA 4h: EMA21=1909.40, EMA50=1893.57;✅ RSI 30m: RSI=63.02;❌ MACD 30m: MACD_hist=-1.5569;❌ ورود هوشمند پولبک: قیمت=1960.7300 EMA=1954.0683 RSI=63.0 BS15=0.698;❌ ADX: ADX=36.34 [>25], DI+=161.94, DI-=346.78;✅ CCI عبور از ۰: CCI=33.34;✅ SAR: SAR=1956.8908, قیمت=1960.7300;✅ Stochastic کراس: K=46.41 D=15.47;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0106 [>0.007]"
ETH-USDT,LONG,MEDIUM,1957.03000000,1941.11297000,1988.86406000,2026-07-27 16:21:04,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.781 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.504 [≥ 0.48];✅ روند EMA 1h: EMA21=1944.47, EMA50=1919.32;✅ روند EMA 4h: EMA21=1913.63, EMA50=1896.01;✅ RSI 30m: RSI=53.63;❌ MACD 30m: MACD_hist=-3.0793;❌ ورود هوشمند پولبک: قیمت=1957.0300 EMA=1956.3232 RSI=53.6 BS15=0.781;❌ ADX: ADX=2.09 [>25], DI+=284.60, DI-=296.76;❌ CCI عبور از ۰: CCI=-87.88;✅ SAR: SAR=1947.2938, قیمت=1957.0300;✅ Stochastic کراس: K=36.28 D=12.09;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0089 [>0.007]"
ARB-USDT,SHORT,LOW,0.07940000,0.08247940,0.07324120,2026-07-27 19:06:51,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.800 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.48];✅ روند EMA 1h: EMA21=0.08, EMA50=0.08;✅ روند EMA 4h: EMA21=0.08, EMA50=0.09;✅ RSI 30m: RSI=24.08;✅ MACD 30m: MACD_hist=-0.0002;❌ ورود هوشمند پولبک: قیمت=0.0794 EMA=0.0813 RSI=24.1 BS15=0.800;✅ ADX: ADX=54.84 [>25], DI+=179.82, DI-=616.51;✅ CCI عبور از ۰: CCI=-216.09;✅ SAR: SAR=0.0796, قیمت=0.0794;❌ Stochastic کراس: K=3.23 D=1.08;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0077 [>0.007]"
ATOM-USDT,SHORT,MEDIUM,1.35630000,1.38695630,1.29498740,2026-07-27 21:06:11,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=1.38, EMA50=1.39;✅ روند EMA 4h: EMA21=1.39, EMA50=1.43;✅ RSI 30m: RSI=36.34;✅ MACD 30m: MACD_hist=-0.0016;❌ ورود هوشمند پولبک: قیمت=1.3563 EMA=1.3675 RSI=36.3 BS15=1.000;❌ ADX: ADX=6.78 [>25], DI+=347.79, DI-=303.66;✅ CCI عبور از ۰: CCI=-68.32;❌ SAR: SAR=1.3476, قیمت=1.3563;❌ Stochastic کراس: K=37.12 D=12.37;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0083 [>0.007]"
