symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
NEAR-USDT,LONG,MEDIUM,1.40350000,1.36529650,1.47990700,2026-04-12 00:29:22,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.591 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.213 [≥ 0.48];✅ روند EMA 1h: EMA21=1.37, EMA50=1.36;✅ روند EMA 4h: EMA21=1.35, EMA50=1.31;✅ RSI 30m: RSI=67.88;✅ MACD 30m: MACD_hist=0.0027;❌ ورود هوشمند پولبک: قیمت=1.4035 EMA=1.3833 RSI=67.9 BS15=0.591;❌ ADX: ADX=45.30 [>25], DI+=178.93, DI-=475.32;✅ CCI عبور از ۰: CCI=70.47;✅ SAR: SAR=1.3940, قیمت=1.4035;❌ Stochastic کراس: K=73.89 D=24.63;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0096 [>0.007]"
ARB-USDT,LONG,MEDIUM,0.11700000,0.11488300,0.12123400,2026-04-12 00:29:23,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.286 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.12, EMA50=0.11;✅ روند EMA 4h: EMA21=0.11, EMA50=0.10;✅ RSI 30m: RSI=57.78;✅ MACD 30m: MACD_hist=0.0001;❌ ورود هوشمند پولبک: قیمت=0.1170 EMA=0.1162 RSI=57.8 BS15=0.286;❌ ADX: ADX=39.39 [>25], DI+=215.38, DI-=495.38;✅ CCI عبور از ۰: CCI=68.00;✅ SAR: SAR=0.1167, قیمت=0.1170;❌ Stochastic کراس: K=65.63 D=21.88;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0112 [>0.007]"
TRX-USDT,LONG,LOW,0.32030000,0.31807970,0.32474060,2026-04-12 09:49:46,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.32, EMA50=0.32;✅ روند EMA 4h: EMA21=0.32, EMA50=0.32;✅ RSI 30m: RSI=61.27;✅ MACD 30m: MACD_hist=0.0001;❌ ورود هوشمند پولبک: قیمت=0.3203 EMA=0.3197 RSI=61.3 BS15=0.000;✅ ADX: ADX=42.27 [>25], DI+=581.93, DI-=236.14;✅ CCI عبور از ۰: CCI=67.51;✅ SAR: SAR=0.3202, قیمت=0.3203;✅ Stochastic کراس: K=26.76 D=8.92;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0013 [>0.007]"
APT-USDT,SHORT,LOW,0.82970000,0.83582970,0.81744060,2026-04-12 11:17:59,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.85, EMA50=0.85;✅ روند EMA 4h: EMA21=0.85, EMA50=0.86;✅ RSI 30m: RSI=29.84;✅ MACD 30m: MACD_hist=-0.0009;❌ ورود هوشمند پولبک: قیمت=0.8297 EMA=0.8398 RSI=29.8 BS15=1.000;✅ ADX: ADX=40.28 [>25], DI+=195.14, DI-=458.35;✅ CCI عبور از ۰: CCI=-56.34;❌ SAR: SAR=0.8261, قیمت=0.8297;❌ Stochastic کراس: K=10.00 D=3.33;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0105 [>0.007]"
ADA-USDT,SHORT,LOW,0.24130000,0.24434130,0.23521740,2026-04-12 12:08:21,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.833 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.25, EMA50=0.25;✅ روند EMA 4h: EMA21=0.25, EMA50=0.25;✅ RSI 30m: RSI=23.50;✅ MACD 30m: MACD_hist=-0.0002;❌ ورود هوشمند پولبک: قیمت=0.2413 EMA=0.2446 RSI=23.5 BS15=0.833;✅ ADX: ADX=36.00 [>25], DI+=234.55, DI-=498.43;✅ CCI عبور از ۰: CCI=-99.26;❌ SAR: SAR=0.2405, قیمت=0.2413;❌ Stochastic کراس: K=17.78 D=5.93;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0119 [>0.007]"
DOT-USDT,SHORT,LOW,1.22690000,1.24492690,1.19084620,2026-04-12 12:08:21,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.714 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.875 [≥ 0.48];✅ روند EMA 1h: EMA21=1.26, EMA50=1.27;✅ روند EMA 4h: EMA21=1.27, EMA50=1.27;✅ RSI 30m: RSI=25.44;✅ MACD 30m: MACD_hist=-0.0007;❌ ورود هوشمند پولبک: قیمت=1.2269 EMA=1.2452 RSI=25.4 BS15=0.714;✅ ADX: ADX=26.19 [>25], DI+=235.61, DI-=402.82;✅ CCI عبور از ۰: CCI=-69.83;❌ SAR: SAR=1.2246, قیمت=1.2269;❌ Stochastic کراس: K=15.22 D=5.07;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0154 [>0.007]"
APT-USDT,SHORT,LOW,0.82490000,0.83252490,0.80965020,2026-04-12 12:08:22,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.84, EMA50=0.85;✅ روند EMA 4h: EMA21=0.85, EMA50=0.86;✅ RSI 30m: RSI=26.34;✅ MACD 30m: MACD_hist=-0.0005;❌ ورود هوشمند پولبک: قیمت=0.8249 EMA=0.8371 RSI=26.3 BS15=1.000;✅ ADX: ADX=30.32 [>25], DI+=231.55, DI-=433.08;✅ CCI عبور از ۰: CCI=-73.15;❌ SAR: SAR=0.8238, قیمت=0.8249;❌ Stochastic کراس: K=9.82 D=3.27;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0115 [>0.007]"
ADA-USDT,SHORT,LOW,0.24040000,0.24374040,0.23371920,2026-04-12 14:00:48,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.25, EMA50=0.25;✅ روند EMA 4h: EMA21=0.25, EMA50=0.25;✅ RSI 30m: RSI=21.70;✅ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.2404 EMA=0.2432 RSI=21.7 BS15=1.000;✅ ADX: ADX=50.00 [>25], DI+=144.83, DI-=434.48;✅ CCI عبور از ۰: CCI=-97.94;❌ SAR: SAR=0.2397, قیمت=0.2404;❌ Stochastic کراس: K=31.48 D=10.49;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0132 [>0.007]"
POL-USDT,SHORT,MEDIUM,0.08320000,0.08438320,0.08083360,2026-04-12 14:00:49,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.08, EMA50=0.09;✅ روند EMA 4h: EMA21=0.09, EMA50=0.09;✅ RSI 30m: RSI=33.72;✅ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.0832 EMA=0.0839 RSI=33.7 BS15=1.000;❌ ADX: ADX=0.00 [>25], DI+=291.67, DI-=291.67;✅ CCI عبور از ۰: CCI=-130.07;❌ SAR: SAR=0.0830, قیمت=0.0832;❌ Stochastic کراس: K=15.38 D=5.13;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0075 [>0.007]"
ADA-USDT,SHORT,LOW,0.24020000,0.24354020,0.23351960,2026-04-12 14:57:23,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.714 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.25, EMA50=0.25;✅ روند EMA 4h: EMA21=0.25, EMA50=0.25;✅ RSI 30m: RSI=22.86;✅ MACD 30m: MACD_hist=-0.0000;❌ ورود هوشمند پولبک: قیمت=0.2402 EMA=0.2429 RSI=22.9 BS15=0.714;✅ ADX: ADX=40.26 [>25], DI+=181.92, DI-=427.12;✅ CCI عبور از ۰: CCI=-97.66;❌ SAR: SAR=0.2394, قیمت=0.2402;❌ Stochastic کراس: K=29.41 D=9.80;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0134 [>0.007]"
