symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,4392.00000000,4368.68800000,4438.62400000,2026-08-11 07:44:55,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.433 [≥ 0.4];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=4363.94, EMA50=4344.22;✅ روند EMA 4h: EMA21=4332.09, EMA50=4259.68, EMA200=4138.95;✅ RSI 30m: RSI=61.72;❌ MACD 30m: MACD_hist=-0.4318;❌ ورود هوشمند پولبک: قیمت=4392.0000 EMA=4379.1181 RSI=61.7 BS15=0.433;✅ ADX: ADX=43.81 [>25], DI+=729.31, DI-=284.96;✅ CCI عبور از ۰: CCI=67.62;✅ SAR: SAR=4391.6612, قیمت=4392.0000;✅ Stochastic کراس: K=56.52 D=18.84;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0046 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0046, ADX=43.81 -> ✅ OK"
ETH-USDT,SHORT,MEDIUM,1879.65000000,1887.43895000,1864.07210000,2026-08-11 07:44:56,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.553 [≥ 0.4];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=1887.09, EMA50=1899.56;❌ روند EMA 4h: EMA21=1900.76, EMA50=1898.96, EMA200=1847.59;✅ RSI 30m: RSI=44.59;❌ MACD 30m: MACD_hist=1.9504;❌ ورود هوشمند پولبک: قیمت=1879.6500 EMA=1880.2026 RSI=44.6 BS15=0.553;❌ ADX: ADX=32.92 [>22], DI+=469.73, DI-=237.06;❌ CCI عبور از ۰: CCI=113.52;✅ SAR: SAR=1879.9870, قیمت=1879.6500;❌ Stochastic کراس: K=81.75 D=27.25;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0055 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0055, ADX=32.92 -> ✅ OK"
XAUT-USDT,LONG,LOW,4391.56000000,4369.78844000,4435.10312000,2026-08-11 08:16:47,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.011 [خیلی پایین - کندل ضعیف];❌ قدرت کندل 5m: BS5=0.011 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=4363.90, EMA50=4344.20;✅ روند EMA 4h: EMA21=4332.05, EMA50=4259.66, EMA200=4138.94;✅ RSI 30m: RSI=61.37;❌ MACD 30m: MACD_hist=-1.0442;❌ ورود هوشمند پولبک: قیمت=4391.5600 EMA=4380.2641 RSI=61.4 BS15=0.011;✅ ADX: ADX=48.27 [>25], DI+=672.69, DI-=234.68;✅ CCI عبور از ۰: CCI=63.24;✅ SAR: SAR=4389.1014, قیمت=4391.5600;✅ Stochastic کراس: K=55.51 D=18.50;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0046 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0046, ADX=48.27 -> ✅ OK"
AVAX-USDT,SHORT,LOW,6.49300000,6.56847900,6.34204200,2026-08-11 11:33:37,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.467 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.467 [≥ 0.4];✅ روند EMA 1h: EMA21=6.50, EMA50=6.50;✅ روند EMA 4h: EMA21=6.50, EMA50=6.51, EMA200=6.56;✅ RSI 30m: RSI=49.00;✅ MACD 30m: MACD_hist=-0.0033;❌ ورود هوشمند پولبک: قیمت=6.4930 EMA=6.4970 RSI=49.0 BS15=0.467;✅ ADX: ADX=26.70 [>22], DI+=188.06, DI-=325.04;✅ CCI عبور از ۰: CCI=-15.28;❌ SAR: SAR=6.4744, قیمت=6.4930;❌ Stochastic کراس: K=24.71 [اشباع فروش - ریسک برگشت];❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0000 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0000, ADX=26.70 -> ✅ OK"
XAUT-USDT,LONG,LOW,4361.62000000,4337.14838000,4410.56324000,2026-08-11 13:53:29,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.905 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=4359.38, EMA50=4346.11;✅ روند EMA 4h: EMA21=4330.60, EMA50=4261.77, EMA200=4140.57;✅ RSI 30m: RSI=49.14;❌ MACD 30m: MACD_hist=-2.7519;❌ ورود هوشمند پولبک: قیمت=4361.6200 EMA=4362.9836 RSI=49.1 BS15=0.905;✅ ADX: ADX=69.77 [>25], DI+=523.24, DI-=93.16;❌ CCI عبور از ۰: CCI=-43.44;✅ SAR: SAR=4354.8384, قیمت=4361.6200;✅ Stochastic کراس: K=35.00 D=11.67;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0012 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0012, ADX=69.77 -> ✅ OK"
AVAX-USDT,SHORT,LOW,6.46400000,6.54739200,6.29721600,2026-08-11 13:53:30,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.250 [خیلی پایین - کندل ضعیف];❌ قدرت کندل 5m: BS5=0.357 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=6.49, EMA50=6.50;✅ روند EMA 4h: EMA21=6.50, EMA50=6.51, EMA200=6.56;✅ RSI 30m: RSI=41.76;✅ MACD 30m: MACD_hist=-0.0029;❌ ورود هوشمند پولبک: قیمت=6.4640 EMA=6.4951 RSI=41.8 BS15=0.250;✅ ADX: ADX=83.13 [>22], DI+=33.79, DI-=366.90;❌ CCI عبور از ۰: CCI=-106.34 [اشباع فروش];✅ SAR: SAR=6.4972, قیمت=6.4640;❌ Stochastic کراس: K=6.59 [اشباع فروش - ریسک برگشت];❌ رد EMA: بدون رد;✅ تست مقاومت: تست مقاومت تایید شد;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0002 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0002, ADX=83.13 -> ✅ OK"
NEAR-USDT,SHORT,LOW,1.59230000,1.62217690,1.53254620,2026-08-11 13:53:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.494 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.629 [≥ 0.4];✅ روند EMA 1h: EMA21=1.61, EMA50=1.62;✅ روند EMA 4h: EMA21=1.62, EMA50=1.65, EMA200=1.78;✅ RSI 30m: RSI=38.33;❌ MACD 30m: MACD_hist=0.0003;❌ ورود هوشمند پولبک: قیمت=1.5923 EMA=1.6042 RSI=38.3 BS15=0.494;✅ ADX: ADX=55.74 [>22], DI+=105.13, DI-=369.96;❌ CCI عبور از ۰: CCI=-155.59 [اشباع فروش];✅ SAR: SAR=1.6030, قیمت=1.5923;❌ Stochastic کراس: K=8.73 [اشباع فروش - ریسک برگشت];✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0046 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0046, ADX=55.74 -> ✅ OK"
XRP-USDT,SHORT,MEDIUM,1.00953000,1.01292859,1.00273282,2026-08-11 17:20:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.452 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.452 [≥ 0.4];✅ روند EMA 1h: EMA21=1.01, EMA50=1.02;✅ روند EMA 4h: EMA21=1.03, EMA50=1.04, EMA200=1.07;✅ RSI 30m: RSI=49.84;❌ MACD 30m: MACD_hist=0.0007;❌ ورود هوشمند پولبک: قیمت=1.0095 EMA=1.0085 RSI=49.8 BS15=0.452;❌ ADX: ADX=43.38 [>22], DI+=344.73, DI-=136.14;✅ CCI عبور از ۰: CCI=-0.44;❌ SAR: SAR=1.0043, قیمت=1.0095;❌ Stochastic کراس: K=95.33 D=31.78;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0056 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0056, ADX=43.38 -> ✅ OK"
LTC-USDT,LONG,MEDIUM,45.36000000,45.22464000,45.69840000,2026-08-11 17:20:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.600 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.600 [≥ 0.4];❌ روند EMA 1h: EMA21=45.31, EMA50=45.42;✅ روند EMA 4h: EMA21=45.46, EMA50=45.41, EMA200=45.09;✅ RSI 30m: RSI=53.16;✅ MACD 30m: MACD_hist=0.0060;❌ ورود هوشمند پولبک: قیمت=45.3600 EMA=45.3268 RSI=53.2 BS15=0.600;✅ ADX: ADX=65.45 [>25], DI+=451.77, DI-=94.33;✅ CCI عبور از ۰: CCI=36.08;✅ SAR: SAR=45.2904, قیمت=45.3600;✅ Stochastic کراس: K=60.71 D=20.24;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0001 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0001, ADX=65.45 -> ✅ OK"
XLM-USDT,SHORT,MEDIUM,0.16100000,0.16248300,0.15803400,2026-08-11 17:20:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.400 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.400 [≥ 0.4];✅ روند EMA 1h: EMA21=0.16, EMA50=0.16;✅ روند EMA 4h: EMA21=0.16, EMA50=0.16, EMA200=0.18;✅ RSI 30m: RSI=46.73;❌ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.1610 EMA=0.1611 RSI=46.7 BS15=0.400;❌ ADX: ADX=35.48 [>22], DI+=288.24, DI-=137.25;✅ CCI عبور از ۰: CCI=-46.25;❌ SAR: SAR=0.1604, قیمت=0.1610;❌ Stochastic کراس: K=50.00 D=16.67;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0037 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0037, ADX=35.48 -> ✅ OK"
