symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
APT-USDT,SHORT,LOW,0.92160000,0.93052080,0.90375840,2026-02-16 09:18:16,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.545 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.545 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.94, EMA55=0.95;✅ روند EMA 4h: EMA21=0.95, EMA55=1.01, EMA200=1.28;✅ RSI 30m: RSI=40.16 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0003 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.92, EMA21=0.93, آستانه=0.003;✅ ADX: ADX=83.38 [حد > 25];✅ CCI: CCI=-115.68;❌ SAR: SAR=0.9193, قیمت=0.9216;❌ Stochastic: K=20.81, D=6.94;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BTC-USDT,SHORT,LOW,68546.60000000,68909.50422080,67820.79155840,2026-02-16 11:16:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=68848.44, EMA55=68981.02;✅ روند EMA 4h: EMA21=68923.85, EMA55=69759.89, EMA200=77637.98;✅ RSI 30m: RSI=46.28 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=31.6984 | سطح=MEDIUM;❌ شکست ورود: قیمت=68546.60, EMA21=68615.98, آستانه=0.003;✅ ADX: ADX=74.25 [حد > 25];❌ CCI: CCI=-25.30;❌ SAR: SAR=68380.6300, قیمت=68546.6000;❌ Stochastic: K=44.46, D=14.82;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BNB-USDT,SHORT,LOW,612.30500000,615.99504800,604.92490400,2026-02-16 11:16:48,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=617.12, EMA55=620.19;✅ روند EMA 4h: EMA21=620.70, EMA55=638.21, EMA200=741.95;✅ RSI 30m: RSI=42.62 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.2319 | سطح=MEDIUM;✅ شکست ورود: قیمت=612.30, EMA21=614.37, آستانه=0.003;✅ ADX: ADX=50.02 [حد > 25];❌ CCI: CCI=-74.07;❌ SAR: SAR=611.4095, قیمت=612.3050;❌ Stochastic: K=22.01, D=7.34;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
DOT-USDT,SHORT,LOW,1.35050000,1.36186280,1.32777440,2026-02-16 11:16:48,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.222 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.222 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.36, EMA55=1.36;✅ روند EMA 4h: EMA21=1.35, EMA55=1.36, EMA200=1.58;✅ RSI 30m: RSI=44.98 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0009 | سطح=MEDIUM;✅ شکست ورود: قیمت=1.35, EMA21=1.35, آستانه=0.003;✅ ADX: ADX=72.90 [حد > 25];❌ CCI: CCI=-50.12;✅ SAR: SAR=1.3523, قیمت=1.3505;❌ Stochastic: K=30.92, D=10.31;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
OP-USDT,SHORT,LOW,0.18760000,0.18907720,0.18464560,2026-02-16 11:16:49,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.556 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.19, EMA55=0.19;✅ روند EMA 4h: EMA21=0.19, EMA55=0.19, EMA200=0.24;✅ RSI 30m: RSI=44.27 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0001 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.19, EMA21=0.19, آستانه=0.003;✅ ADX: ADX=70.97 [حد > 25];❌ CCI: CCI=-70.66;✅ SAR: SAR=0.1880, قیمت=0.1876;❌ Stochastic: K=28.21, D=9.40;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BNB-USDT,SHORT,LOW,613.07200000,616.52620480,606.16359040,2026-02-16 12:06:43,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.973 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.780 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=616.83, EMA55=619.97;✅ روند EMA 4h: EMA21=620.09, EMA55=637.34, EMA200=740.71;✅ RSI 30m: RSI=44.41 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.3049 | سطح=MEDIUM;❌ شکست ورود: قیمت=613.07, EMA21=614.29, آستانه=0.003;✅ ADX: ADX=53.72 [حد > 25];❌ CCI: CCI=-31.52;❌ SAR: SAR=612.5863, قیمت=613.0720;❌ Stochastic: K=31.13, D=10.38;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
SOL-USDT,LONG,MEDIUM,85.32000000,84.60552480,86.74895040,2026-02-16 12:06:44,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.765 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=86.08, EMA55=86.07;❌ روند EMA 4h: EMA21=85.57, EMA55=86.73, EMA200=103.27;❌ RSI 30m: RSI=45.00 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0851 | سطح=MEDIUM;❌ شکست ورود: قیمت=85.32, EMA21=85.53, آستانه=0.003;✅ ADX: ADX=61.25 [حد > 25];❌ CCI: CCI=-17.18;✅ SAR: SAR=85.0548, قیمت=85.3200;❌ Stochastic: K=49.13, D=16.38;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom"
XRP-USDT,LONG,MEDIUM,1.46657000,1.45416800,1.49757500,2026-02-16 12:06:44,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.718 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.593 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.48, EMA55=1.48;❌ روند EMA 4h: EMA21=1.47, EMA55=1.46, EMA200=1.64;❌ RSI 30m: RSI=45.62 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0027 | سطح=MEDIUM;❌ شکست ورود: قیمت=1.47, EMA21=1.47, آستانه=0.003;✅ ADX: ADX=64.68 [حد > 25];❌ CCI: CCI=9.21;✅ SAR: SAR=1.4612, قیمت=1.4666;❌ Stochastic: K=56.00, D=18.67;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
POL-USDT,LONG,MEDIUM,0.10620000,0.10536600,0.10828500,2026-02-16 12:06:45,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.11, EMA55=0.11;❌ روند EMA 4h: EMA21=0.10, EMA55=0.10, EMA200=0.11;❌ RSI 30m: RSI=44.56 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;❌ شکست ورود: قیمت=0.11, EMA21=0.11, آستانه=0.003;✅ ADX: ADX=95.65 [حد > 25];❌ CCI: CCI=-81.18;✅ SAR: SAR=0.1061, قیمت=0.1062;❌ Stochastic: K=23.81, D=7.94;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
NEAR-USDT,LONG,MEDIUM,1.04560000,1.03688080,1.06303840,2026-02-16 12:06:45,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.682 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.727 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.05, EMA55=1.05;❌ روند EMA 4h: EMA21=1.04, EMA55=1.05, EMA200=1.25;❌ RSI 30m: RSI=45.23 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0000 | سطح=MEDIUM;❌ شکست ورود: قیمت=1.05, EMA21=1.05, آستانه=0.003;✅ ADX: ADX=91.42 [حد > 25];❌ CCI: CCI=-67.44;✅ SAR: SAR=1.0432, قیمت=1.0456;❌ Stochastic: K=27.55, D=9.18;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
