symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XLM-USDT,LONG,MEDIUM,0.17520000,0.17372480,0.17815040,2026-08-02 12:26:36,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.250 [≥ 0.48];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=0.17, EMA50=0.17;❌ روند EMA 4h: EMA21=0.17, EMA50=0.17, EMA200=0.18;✅ RSI 30m: RSI=61.40;❌ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.1752 EMA=0.1744 RSI=61.4 BS15=0.250;✅ ADX: ADX=47.37 [>25], DI+=408.33, DI-=145.83;✅ CCI عبور از ۰: CCI=36.05;✅ SAR: SAR=0.1751, قیمت=0.1752;✅ Stochastic کراس: K=60.34 D=20.11;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0082 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0082, ADX=47.37 -> ✅ OK"
BNB-USDT,LONG,MEDIUM,583.95300000,581.99104700,587.87690600,2026-08-02 13:18:40,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.980 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=0.980 [خیلی بالا - احتمال پایان حرکت];❌ روند EMA 1h: EMA21=581.88, EMA50=582.69;✅ روند EMA 4h: EMA21=582.07, EMA50=578.38, EMA200=573.39;✅ RSI 30m: RSI=60.37;✅ MACD 30m: MACD_hist=0.0514;❌ ورود هوشمند پولبک: قیمت=583.9530 EMA=582.5061 RSI=60.4 BS15=0.980;✅ ADX: ADX=59.44 [>25], DI+=431.47, DI-=109.77;✅ CCI عبور از ۰: CCI=43.07;✅ SAR: SAR=582.6152, قیمت=583.9530;✅ Stochastic کراس: K=57.66 D=19.22;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0009 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0009, ADX=59.44 -> ✅ OK"
XRP-USDT,LONG,MEDIUM,1.08240000,1.07546760,1.09626480,2026-08-02 13:18:41,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.524 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.524 [≥ 0.48];✅ روند EMA 1h: EMA21=1.07, EMA50=1.07;❌ روند EMA 4h: EMA21=1.07, EMA50=1.08, EMA200=1.09;❌ RSI 30m: RSI=71.12;❌ MACD 30m: MACD_hist=-0.0003;❌ ورود هوشمند پولبک: قیمت=1.0824 EMA=1.0768 RSI=71.1 BS15=0.524;✅ ADX: ADX=31.78 [>25], DI+=421.35, DI-=218.13;✅ CCI عبور از ۰: CCI=54.62;✅ SAR: SAR=1.0767, قیمت=1.0824;✅ Stochastic کراس: K=69.02 D=23.01;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0052 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0052, ADX=31.78 -> ✅ OK"
BNB-USDT,LONG,MEDIUM,583.59000000,581.99141000,586.78718000,2026-08-02 14:41:10,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.861 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.012 [≥ 0.48];❌ روند EMA 1h: EMA21=582.19, EMA50=582.76;✅ روند EMA 4h: EMA21=582.03, EMA50=578.37, EMA200=573.39;✅ RSI 30m: RSI=57.56;❌ MACD 30m: MACD_hist=-0.1587;❌ ورود هوشمند پولبک: قیمت=583.5900 EMA=582.7720 RSI=57.6 BS15=0.861;✅ ADX: ADX=59.50 [>25], DI+=460.60, DI-=116.95;✅ CCI عبور از ۰: CCI=17.90;✅ SAR: SAR=583.4587, قیمت=583.5900;✅ Stochastic کراس: K=29.21 D=9.74;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0011 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0011, ADX=59.50 -> ✅ OK"
XRP-USDT,LONG,MEDIUM,1.08117000,1.07546883,1.09257234,2026-08-02 14:41:11,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.121 [≥ 0.48];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=1.07, EMA50=1.07;❌ روند EMA 4h: EMA21=1.07, EMA50=1.08, EMA200=1.09;✅ RSI 30m: RSI=63.73;❌ MACD 30m: MACD_hist=-0.0007;❌ ورود هوشمند پولبک: قیمت=1.0812 EMA=1.0778 RSI=63.7 BS15=0.121;✅ ADX: ADX=33.48 [>25], DI+=433.02, DI-=215.81;✅ CCI عبور از ۰: CCI=32.61;✅ SAR: SAR=1.0799, قیمت=1.0812;✅ Stochastic کراس: K=50.27 D=16.76;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0052 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0052, ADX=33.48 -> ✅ OK"
ATOM-USDT,LONG,MEDIUM,1.25200000,1.24574800,1.26450400,2026-08-02 14:41:11,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.385 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.795 [≥ 0.48];✅ روند EMA 1h: EMA21=1.24, EMA50=1.24;❌ روند EMA 4h: EMA21=1.25, EMA50=1.30, EMA200=1.46;✅ RSI 30m: RSI=57.42;❌ MACD 30m: MACD_hist=-0.0010;❌ ورود هوشمند پولبک: قیمت=1.2520 EMA=1.2484 RSI=57.4 BS15=0.385;❌ ADX: ADX=0.00 [>25], DI+=297.09, DI-=297.09;✅ CCI عبور از ۰: CCI=12.65;✅ SAR: SAR=1.2471, قیمت=1.2520;✅ Stochastic کراس: K=42.56 D=14.19;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0056 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0056, ADX=0.00 -> ✅ OK"
XLM-USDT,LONG,MEDIUM,0.17440000,0.17422560,0.17474880,2026-08-02 14:41:12,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.800 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.17, EMA50=0.17;❌ روند EMA 4h: EMA21=0.17, EMA50=0.17, EMA200=0.18;✅ RSI 30m: RSI=51.25;❌ MACD 30m: MACD_hist=-0.0003;❌ ورود هوشمند پولبک: قیمت=0.1744 EMA=0.1746 RSI=51.3 BS15=0.800;✅ ADX: ADX=52.63 [>25], DI+=386.67, DI-=120.00;❌ CCI عبور از ۰: CCI=-35.33;❌ SAR: SAR=0.1748, قیمت=0.1744;❌ Stochastic کراس: K=0.00 D=0.00;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0073 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0073, ADX=52.63 -> ✅ OK"
XRP-USDT,LONG,MEDIUM,1.08011000,1.07546989,1.08939022,2026-08-02 16:02:36,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.795 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.795 [≥ 0.48];✅ روند EMA 1h: EMA21=1.07, EMA50=1.07;❌ روند EMA 4h: EMA21=1.07, EMA50=1.08, EMA200=1.09;✅ RSI 30m: RSI=59.54;❌ MACD 30m: MACD_hist=-0.0009;❌ ورود هوشمند پولبک: قیمت=1.0801 EMA=1.0783 RSI=59.5 BS15=0.795;✅ ADX: ADX=53.19 [>25], DI+=401.78, DI-=122.75;❌ CCI عبور از ۰: CCI=-46.76;✅ SAR: SAR=1.0796, قیمت=1.0801;✅ Stochastic کراس: K=38.74 D=12.91;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0049 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0049, ADX=53.19 -> ✅ OK"
AVAX-USDT,LONG,MEDIUM,6.58600000,6.54941400,6.65917200,2026-08-02 16:02:37,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=6.46, EMA50=6.41;❌ روند EMA 4h: EMA21=6.43, EMA50=6.46, EMA200=6.51;✅ RSI 30m: RSI=64.61;❌ MACD 30m: MACD_hist=-0.0083;❌ ورود هوشمند پولبک: قیمت=6.5860 EMA=6.5303 RSI=64.6 BS15=0.000;✅ ADX: ADX=37.78 [>25], DI+=287.42, DI-=129.80;✅ CCI عبور از ۰: CCI=30.10;✅ SAR: SAR=6.5703, قیمت=6.5860;✅ Stochastic کراس: K=30.30 D=10.10;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0131 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0131, ADX=37.78 -> ✅ OK"
XLM-USDT,LONG,MEDIUM,0.17460000,0.17412540,0.17578650,2026-08-02 16:02:37,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=0.17, EMA50=0.17;❌ روند EMA 4h: EMA21=0.17, EMA50=0.17, EMA200=0.18;✅ RSI 30m: RSI=53.36;❌ MACD 30m: MACD_hist=-0.0003;❌ ورود هوشمند پولبک: قیمت=0.1746 EMA=0.1746 RSI=53.4 BS15=0.667;✅ ADX: ADX=51.35 [>25], DI+=417.02, DI-=134.04;❌ CCI عبور از ۰: CCI=-73.05;✅ SAR: SAR=0.1743, قیمت=0.1746;❌ Stochastic کراس: K=9.37 D=3.12;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0064 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0064, ADX=51.35 -> ✅ OK"
