symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
POL-USDT,LONG,MEDIUM,0.09770000,0.09133698,0.11106233,2026-09-17 04:12:22,1789605742,OPEN,1789824960,,,,,10.00,10.00,100.00,,33563,,"order_flow=0.76:buyVol=1783500 sellVol=550714 delta=+0.53 closePos=0.76 | volume_profile=0.95:POC=0.0971625 VA[0.0932333..0.0987] price=0.0977 | sweep=0.99:sweep=swept low 0.0957 2 bars ago | liquidity=1.00:eq-lows fuel @ 0.09565, eq-highs magnet @ 0.09835 | fvg=0.35:fvg=none | fibonacci=0.35:no up-leg | supply_demand=1.00:zone=demand [0.097..0.0978] 0.3 ATR below | moving_average=1.00:price=0.0977 EMA21=0.0940024 EMA50=0.0937065 slope=+0.00115 | macd=1.00:MACD=0.000826666 sig=0.000320534 hist=0.000506132 | rsi=0.00:RSI=74.3 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
AVAX-USDT,LONG,HIGH,7.51300000,7.32136664,7.89626673,2026-09-17 04:12:25,1789605746,TP_HIT,1789691340,2026-09-18 07:13:00,7.89231860,0.2000,4.8488,10.00,10.00,100.00,48.4883,33564,33591,"order_flow=0.56:buyVol=309359 sellVol=274939 delta=+0.06 closePos=0.61 | volume_profile=0.45:POC=7.52912 VA[7.3335..7.6465] price=7.513 | sweep=0.98:sweep=swept low 7.472 2 bars ago | liquidity=1.00:eq-lows fuel @ 7.3325, eq-highs magnet @ 7.538 | fvg=0.63:fvg=bull FVG [7.439..7.476] 0.9 ATR | fibonacci=0.35:no up-leg | supply_demand=0.75:zone=demand [7.428..7.508] 0.7 ATR below | moving_average=1.00:price=7.513 EMA21=7.35466 EMA50=7.33411 slope=+0.0557 | macd=1.00:MACD=0.0465804 sig=0.0256007 hist=0.0209797 | rsi=0.00:RSI=72.9 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
BNB-USDT,LONG,HIGH,725.94800000,722.05507955,733.73384090,2026-09-17 09:08:47,1789623528,STOP_HIT,1789641900,2026-09-17 15:01:00,721.69405201,0.2000,-0.7860,10.00,10.00,100.00,-7.8599,33566,33575,"order_flow=0.56:buyVol=1322 sellVol=844 delta=+0.22 closePos=0.47 | volume_profile=0.85:POC=719.675 VA[713.005..721.494] price=725.948 | sweep=0.73:sweep=swept low 722.661 3 bars ago | liquidity=1.00:eq-lows fuel @ 717.78, eq-highs magnet @ 729.138 | fvg=0.83:fvg=bull FVG [725.606..725.707] 0.1 ATR | fibonacci=0.35:no up-leg | supply_demand=0.59:zone=demand [720.519..723.125] 1.3 ATR below | moving_average=1.00:price=725.948 EMA21=722.837 EMA50=719.511 slope=+1.77 | macd=0.00:MACD=2.52005 sig=2.75231 hist=-0.232261 | rsi=0.55:RSI=58.7 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
LTC-USDT,LONG,HIGH,52.04000000,51.80551895,52.50896211,2026-09-17 09:08:53,1789623534,TP_HIT,1789623474,2026-09-17 10:17:00,52.48270763,0.2000,0.6507,10.00,10.00,100.00,6.5071,33567,33569,order_flow=0.62:buyVol=9872 sellVol=4849 delta=+0.34 closePos=0.55 | volume_profile=0.85:POC=50.6448 VA[50.3779..51.8013] price=52.04 | sweep=0.75:sweep=swept low 52.23 4 bars ago | liquidity=0.65:eq-highs magnet @ 52.215 | fvg=0.72:fvg=bull FVG [51.78..52] 0.5 ATR | fibonacci=0.35:no up-leg | supply_demand=0.67:zone=demand [51.57..51.91] 1.0 ATR below | moving_average=1.00:price=52.04 EMA21=51.6779 EMA50=51.4379 slope=+0.317 | macd=0.70:MACD=0.31113 sig=0.283072 hist=0.0280578 | rsi=0.55:RSI=60.7 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
TRX-USDT,SHORT,HIGH,0.33580000,0.33626267,0.33487466,2026-09-17 09:08:55,1789623538,STOP_HIT,1789623478,2026-09-17 09:09:00,0.33643080,0.2000,-0.3879,10.00,10.00,100.00,-3.8785,33568,33570,"order_flow=0.37:buyVol=329288 sellVol=147643 delta=+0.38 closePos=0.55 | volume_profile=0.95:POC=0.335856 VA[0.334471..0.339221] price=0.3358 | sweep=0.75:sweep=swept high 0.336 3 bars ago | liquidity=1.00:eq-highs fuel @ 0.336213, eq-lows magnet @ 0.33515 | fvg=0.35:fvg=none | fibonacci=1.00:retr=0.432 of [0.3317..0.3412] | supply_demand=1.00:zone=supply [0.3356..0.3365] 0.6 ATR above | moving_average=0.30:price=0.3358 EMA21=0.33581 EMA50=0.335593 slope=+7.49e-05 | macd=1.00:MACD=0.000142672 sig=0.000187848 hist=-4.51756e-05 | rsi=0.35:RSI=51.0 | pattern=0.55:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
XRP-USDT,SHORT,MEDIUM,1.29472000,1.31068684,1.26118963,2026-09-17 14:16:25,1789641985,STOP_HIT,1789641925,2026-09-17 15:50:00,1.31134218,0.2000,-1.4838,10.00,10.00,100.00,-14.8384,33571,33576,"order_flow=0.51:buyVol=2571948 sellVol=2607057 delta=-0.01 closePos=0.47 | volume_profile=0.95:POC=1.29637 VA[1.25665..1.33609] price=1.29472 | sweep=0.91:sweep=swept high 1.30159 2 bars ago | liquidity=1.00:eq-highs fuel @ 1.30245, eq-lows magnet @ 1.2755 | fvg=0.62:fvg=bear FVG [1.30048..1.30415] 0.9 ATR | fibonacci=0.40:retr=0.221 of [1.24782..1.45966] | supply_demand=1.00:zone=supply [1.26569..1.29633] -1.7 ATR above | moving_average=0.75:price=1.29472 EMA21=1.29883 EMA50=1.29918 slope=+0.00173 | macd=1.00:MACD=0.00216554 sig=0.00283783 hist=-0.000672289 | rsi=0.55:RSI=47.1 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
DOGE-USDT,SHORT,HIGH,0.08080000,0.08177290,0.07885421,2026-09-17 14:16:27,1789641989,STOP_HIT,1789641929,2026-09-17 16:00:00,0.08181379,0.2000,-1.4547,10.00,10.00,100.00,-14.5469,33572,33577,"order_flow=0.45:buyVol=6285441 sellVol=3240435 delta=+0.32 closePos=0.39 | volume_profile=0.45:POC=0.079689 VA[0.0795654..0.0817892] price=0.0808 | sweep=0.86:sweep=swept high 0.08085 1 bars ago | liquidity=1.00:eq-highs fuel @ 0.0808, eq-lows magnet @ 0.07986 | fvg=0.61:fvg=bear FVG [0.08108..0.08134] 1.0 ATR | fibonacci=1.00:retr=0.417 of [0.07833..0.08426] | supply_demand=1.00:zone=supply [0.08079..0.08202] 1.4 ATR above | moving_average=0.30:price=0.0808 EMA21=0.0809515 EMA50=0.0806929 slope=+0.000182 | macd=1.00:MACD=0.000210555 sig=0.000258074 hist=-4.75185e-05 | rsi=0.55:RSI=48.9 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
DOT-USDT,LONG,HIGH,1.02250000,1.00639439,1.05471122,2026-09-17 14:16:30,1789641992,TP_HIT,1789658520,2026-09-17 19:01:00,1.05418386,0.2000,2.8987,10.00,10.00,100.00,28.9867,33573,33582,order_flow=0.63:buyVol=4517836 sellVol=2153596 delta=+0.35 closePos=0.56 | volume_profile=0.95:POC=0.976373 VA[0.956254..1.0412] price=1.0225 | sweep=0.75:sweep=swept low 1.009 5 bars ago | liquidity=0.70:eq-lows fuel @ 1.0052 | fvg=0.35:fvg=none | fibonacci=0.40:retr=0.174 of [0.9339..1.0412] | supply_demand=1.00:zone=demand [1.019..1.0275] -0.1 ATR below | moving_average=1.00:price=1.0225 EMA21=1.01196 EMA50=1.00025 slope=+0.00332 | macd=0.30:MACD=0.00496783 sig=0.00558687 hist=-0.000619032 | rsi=0.55:RSI=60.8 | pattern=1.00:pattern=HAMMER | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
TRX-USDT,SHORT,HIGH,0.33530000,0.33606503,0.33376993,2026-09-17 14:16:35,1789641996,STOP_HIT,1789641936,2026-09-17 16:56:00,0.33623306,0.2000,-0.4783,10.00,10.00,100.00,-4.7828,33574,33578,"order_flow=0.68:buyVol=432031 sellVol=1055787 delta=-0.42 closePos=0.36 | volume_profile=0.45:POC=0.334867 VA[0.332367..0.337033] price=0.3353 | sweep=0.79:sweep=swept high 0.3354 2 bars ago | liquidity=1.00:eq-highs fuel @ 0.335375, eq-lows magnet @ 0.33442 | fvg=0.35:fvg=none | fibonacci=1.00:retr=0.450 of [0.3317..0.3397] | supply_demand=1.00:zone=supply [0.3346..0.3356] -0.5 ATR above | moving_average=0.55:price=0.3353 EMA21=0.33558 EMA50=0.33555 slope=-0.000178 | macd=0.70:MACD=-8.91335e-05 sig=-4.39423e-06 hist=-8.47393e-05 | rsi=0.55:RSI=43.7 | pattern=0.00:pattern=HAMMER | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
BNB-USDT,LONG,HIGH,725.82300000,722.90646185,731.65607631,2026-09-17 18:54:04,1789658644,TP_HIT,1789672020,2026-09-17 23:21:00,731.29024827,0.2000,0.5532,10.00,10.00,100.00,5.5325,33579,33587,"order_flow=0.43:buyVol=1232 sellVol=1895 delta=-0.21 closePos=0.48 | volume_profile=0.85:POC=719.045 VA[712.652..723.113] price=725.823 | sweep=0.78:sweep=swept low 722.661 7 bars ago | liquidity=1.00:eq-lows fuel @ 722.868, eq-highs magnet @ 727.084 | fvg=0.35:fvg=none | fibonacci=0.75:retr=0.236 of [704.515..732.412] | supply_demand=1.00:zone=demand [724.461..731.077] -0.6 ATR below | moving_average=1.00:price=725.823 EMA21=725.767 EMA50=722.992 slope=+1.74 | macd=0.00:MACD=1.32507 sig=1.37311 hist=-0.0480436 | rsi=0.55:RSI=51.5 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
SOL-USDT,LONG,MEDIUM,101.07000000,99.55213697,104.25751236,2026-09-17 18:54:05,1789658648,TP_HIT,1789691340,2026-09-18 06:50:00,104.20538360,0.2000,2.9022,10.00,10.00,100.00,29.0219,33580,33592,order_flow=0.63:buyVol=56638 sellVol=22180 delta=+0.44 closePos=0.50 | volume_profile=0.85:POC=98.0023 VA[96.5838..99.9367] price=101.07 | sweep=0.68:sweep=swept low 99.58 7 bars ago | liquidity=0.70:eq-lows fuel @ 99.5433 | fvg=1.00:fvg=bull FVG [100.79..101.07] 0.2 ATR | fibonacci=0.35:no up-leg | supply_demand=1.00:zone=demand [100.14..101.19] 0.6 ATR below | moving_average=1.00:price=101.07 EMA21=100.26 EMA50=99.4926 slope=+0.543 | macd=1.00:MACD=0.525526 sig=0.483805 hist=0.0417213 | rsi=0.55:RSI=60.2 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
TRX-USDT,SHORT,MEDIUM,0.33480000,0.33688690,0.33041751,2026-09-17 18:54:13,1789658653,STOP_HIT,1789709160,2026-09-18 11:42:00,0.33705534,0.2000,-0.8736,10.00,10.00,100.00,-8.7364,33581,33600,"order_flow=0.50:buyVol=1246223 sellVol=1237015 delta=+0.00 closePos=0.49 | volume_profile=0.95:POC=0.334867 VA[0.3327..0.337033] price=0.3348 | sweep=0.88:sweep=swept high 0.3354 4 bars ago | liquidity=1.00:eq-highs fuel @ 0.335375, eq-lows magnet @ 0.334417 | fvg=0.35:fvg=none | fibonacci=1.00:retr=0.387 of [0.3317..0.3397] | supply_demand=1.00:zone=supply [0.3346..0.3356] 0.5 ATR above | moving_average=1.00:price=0.3348 EMA21=0.335143 EMA50=0.33533 slope=-0.000225 | macd=0.70:MACD=-0.00023462 sig=-0.000191293 hist=-4.33265e-05 | rsi=0.55:RSI=43.1 | pattern=0.50:pattern=DOJI | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
XRP-USDT,SHORT,MEDIUM,1.29531000,1.31037112,1.26368164,2026-09-17 22:39:58,1789672198,STOP_HIT,1789691340,2026-09-18 06:08:00,1.31102631,0.2000,-1.4133,10.00,10.00,100.00,-14.1332,33583,33593,"order_flow=0.53:buyVol=3199574 sellVol=3771053 delta=-0.08 closePos=0.48 | volume_profile=0.95:POC=1.29637 VA[1.26547..1.30961] price=1.29531 | sweep=0.89:sweep=swept high 1.30159 3 bars ago | liquidity=1.00:eq-highs fuel @ 1.30245, eq-lows magnet @ 1.2811 | fvg=0.65:fvg=bear FVG [1.30105..1.30262] 0.8 ATR | fibonacci=0.40:retr=0.224 of [1.24782..1.45966] | supply_demand=1.00:zone=supply [1.26569..1.29633] -1.7 ATR above | moving_average=0.55:price=1.29531 EMA21=1.30198 EMA50=1.30109 slope=-0.000471 | macd=1.00:MACD=0.000493999 sig=0.00168618 hist=-0.00119218 | rsi=0.55:RSI=44.7 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
DOGE-USDT,SHORT,HIGH,0.08143000,0.08235524,0.07957952,2026-09-17 22:40:02,1789672203,STOP_HIT,1789691340,2026-09-18 05:18:00,0.08239642,0.2000,-1.3868,10.00,10.00,100.00,-13.8681,33584,33594,"order_flow=0.60:buyVol=11755175 sellVol=23998465 delta=-0.34 closePos=0.52 | volume_profile=0.45:POC=0.0797031 VA[0.0795975..0.08171] price=0.08143 | sweep=0.86:sweep=swept high 0.08181 3 bars ago | liquidity=1.00:eq-highs fuel @ 0.08176, eq-lows magnet @ 0.08055 | fvg=0.62:fvg=bear FVG [0.08179..0.082] 0.9 ATR | fibonacci=1.00:retr=0.611 of [0.07833..0.0834] | supply_demand=1.00:zone=supply [0.08079..0.08202] -0.0 ATR above | moving_average=0.30:price=0.08143 EMA21=0.0815243 EMA50=0.0811461 slope=+0.000214 | macd=1.00:MACD=0.000230098 sig=0.000262375 hist=-3.22768e-05 | rsi=0.35:RSI=50.1 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY"
ATOM-USDT,LONG,HIGH,1.54690000,1.51692769,1.60684462,2026-09-17 22:40:08,1789672209,TP_HIT,1789691340,2026-09-18 06:41:00,1.60604120,0.2000,3.6232,10.00,10.00,100.00,36.2321,33585,33595,order_flow=0.65:buyVol=52040 sellVol=20982 delta=+0.43 closePos=0.55 | volume_profile=0.95:POC=1.5423 VA[1.49218..1.55114] price=1.5469 | sweep=0.35:sweep=none | liquidity=0.70:eq-lows fuel @ 1.51955 | fvg=1.00:fvg=bull FVG [1.5393..1.5484] 0.2 ATR | fibonacci=0.35:no up-leg | supply_demand=1.00:zone=demand [1.5398..1.5504] 0.1 ATR below | moving_average=1.00:price=1.5469 EMA21=1.54368 EMA50=1.5313 slope=+0.011 | macd=0.70:MACD=0.00901247 sig=0.00857392 hist=0.000438551 | rsi=0.55:RSI=53.9 | pattern=0.35:pattern=NONE | ai_committee=0.50:AI unavailable: openrouter=missing OPENROUTER_API_KEY; mistral=missing MISTRAL_API_KEY; cerebras=missing CEREBRAS_API_KEY; siliconflow=missing SILICONFLOW_API_KEY
