symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
APT-USDT,LONG,MEDIUM,0.58760000,0.57728460,0.60926233,2026-09-05 08:39:26,1788584969,TP_HIT,1788584909,2026-09-05 09:33:00,0.60895770,0.2000,3.4347,10.00,10.00,100.00,34.3473,33111,33122,"4h trend=1.00:price=0.5869 EMA21=0.581582 EMA55=0.57153 ADX=20.6 | 1h trend=1.00:price=0.5876 EMA21=0.585295 EMA55=0.584918 ADX=18.2 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.5779, distance=1.651% | momentum=1.00:RSI=55.2, MACD_hist=0.00113018, ADX=19.7 | volume=0.20:volume ratio=0.39x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00410265 (0.70%) | multi-timeframe=0.86:weighted alignment=0.86"
ARB-USDT,LONG,MEDIUM,0.13040000,0.13004178,0.13115226,2026-09-05 08:39:30,1788584973,STOP_HIT,1788584913,2026-09-05 09:20:00,0.12997676,0.2000,-0.5246,10.00,10.00,100.00,-5.2457,33112,33123,"4h trend=1.00:price=0.1316 EMA21=0.126585 EMA55=0.112253 ADX=42.6 | 1h trend=0.65:price=0.1304 EMA21=0.132598 EMA55=0.130522 ADX=13.2 | 30m structure=0.50:HH=True, HL=False | key level=1.00:support=0.1303, distance=0.077% | momentum=0.60:RSI=41.5, MACD_hist=0.000105812, ADX=14.6 | volume=0.20:volume ratio=0.58x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00172146 (1.32%) | multi-timeframe=0.47:weighted alignment=0.47"
SUI-USDT,LONG,LOW,0.76590000,0.75048336,0.80289995,2026-09-05 08:39:34,1788584977,OPEN,1788599460,,,,,10.00,10.00,100.00,,33113,,"4h trend=1.00:price=0.7657 EMA21=0.757256 EMA55=0.751938 ADX=17.9 | 1h trend=1.00:price=0.7659 EMA21=0.761673 EMA55=0.759958 ADX=19.3 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.7513, distance=1.906% | momentum=1.00:RSI=58.6, MACD_hist=0.00124714, ADX=21.5 | volume=0.50:volume ratio=1.12x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0054443 (0.71%) | multi-timeframe=0.86:weighted alignment=0.86"
BNB-USDT,LONG,LOW,749.59100000,720.07677078,820.42515014,2026-09-05 12:42:36,1788599558,OPEN,1788599498,,,,,10.00,10.00,100.00,,33124,,"4h trend=1.00:price=738.231 EMA21=712.686 EMA55=700.315 ADX=28.8 | 1h trend=1.00:price=749.591 EMA21=724.556 EMA55=716.464 ADX=26.9 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=720.656, distance=3.860% | momentum=0.60:RSI=86.8, MACD_hist=2.90424, ADX=32.4 | volume=1.00:volume ratio=3.42x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=3.86153 (0.52%) | multi-timeframe=1.00:weighted alignment=1.00"
XRP-USDT,LONG,LOW,1.40643000,1.39476693,1.43442136,2026-09-05 12:42:40,1788599562,OPEN,1788599502,,,,,10.00,10.00,100.00,,33125,,"4h trend=1.00:price=1.4045 EMA21=1.40225 EMA55=1.38846 ADX=18.7 | 1h trend=0.85:price=1.40643 EMA21=1.40566 EMA55=1.40519 ADX=27.3 | 30m structure=0.50:HH=False, HL=True | key level=0.65:support=1.3955, distance=0.777% | momentum=1.00:RSI=55.6, MACD_hist=0.00170871, ADX=20.4 | volume=0.20:volume ratio=0.71x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=0.00488712 (0.35%) | multi-timeframe=0.75:weighted alignment=0.75"
ADA-USDT,LONG,MEDIUM,0.21370000,0.21002006,0.22142787,2026-09-05 12:42:43,1788599566,OPEN,1788599506,,,,,10.00,10.00,100.00,,33126,,"4h trend=1.00:price=0.2139 EMA21=0.210753 EMA55=0.207119 ADX=23.4 | 1h trend=0.85:price=0.2137 EMA21=0.213083 EMA55=0.212322 ADX=28.5 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.2102, distance=1.638% | momentum=1.00:RSI=57.6, MACD_hist=0.000553997, ADX=23.7 | volume=0.20:volume ratio=0.57x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.0011996 (0.56%) | multi-timeframe=0.85:weighted alignment=0.85"
DOGE-USDT,LONG,MEDIUM,0.08581000,0.08445740,0.08865045,2026-09-05 12:42:47,1788599569,OPEN,1788599509,,,,,10.00,10.00,100.00,,33127,,"4h trend=1.00:price=0.0858 EMA21=0.084973 EMA55=0.0845786 ADX=20.2 | 1h trend=1.00:price=0.08581 EMA21=0.0852344 EMA55=0.0851031 ADX=23.2 | 30m structure=0.50:HH=False, HL=True | key level=0.25:support=0.08451, distance=1.515% | momentum=1.00:RSI=66.4, MACD_hist=0.000175345, ADX=24.8 | volume=0.20:volume ratio=0.73x | candlestick/pattern=1.00:pattern=HAMMER | volatility=1.00:ATR=0.000350649 (0.41%) | multi-timeframe=0.89:weighted alignment=0.89"
TRX-USDT,LONG,MEDIUM,0.33290000,0.33143263,0.33598148,2026-09-05 12:42:50,1788599573,OPEN,1788599513,,,,,10.00,10.00,100.00,,33128,,"4h trend=0.50:price=0.3328 EMA21=0.330062 EMA55=0.332211 ADX=20.2 | 1h trend=1.00:price=0.3329 EMA21=0.331472 EMA55=0.330104 ADX=34.5 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=0.3315, distance=0.421% | momentum=0.60:RSI=68.5, MACD_hist=5.44268e-05, ADX=27.5 | volume=0.50:volume ratio=1.13x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.000449137 (0.13%) | multi-timeframe=0.84:weighted alignment=0.84"
AVAX-USDT,LONG,LOW,7.49500000,7.38278826,7.76430817,2026-09-05 12:42:54,1788599577,OPEN,1788599517,,,,,10.00,10.00,100.00,,33129,,"4h trend=1.00:price=7.493 EMA21=7.37765 EMA55=7.32318 ADX=18.6 | 1h trend=1.00:price=7.495 EMA21=7.42089 EMA55=7.39107 ADX=25.7 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=7.387, distance=1.441% | momentum=0.60:RSI=69.9, MACD_hist=0.0111524, ADX=25.9 | volume=0.20:volume ratio=0.70x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=0.0280783 (0.37%) | multi-timeframe=1.00:weighted alignment=1.00"
NEAR-USDT,LONG,LOW,2.22300000,2.17865386,2.32943073,2026-09-05 12:42:58,1788599581,OPEN,1788599521,,,,,10.00,10.00,100.00,,33130,,"4h trend=1.00:price=2.2265 EMA21=2.01497 EMA55=1.93735 ADX=28.3 | 1h trend=1.00:price=2.223 EMA21=2.14575 EMA55=2.045 ADX=37.4 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=2.1841, distance=1.750% | momentum=0.70:RSI=57.6, MACD_hist=-0.00810499, ADX=42.1 | volume=0.20:volume ratio=0.65x | candlestick/pattern=1.00:pattern=HAMMER | volatility=1.00:ATR=0.0363076 (1.63%) | multi-timeframe=0.87:weighted alignment=0.87"
APT-USDT,LONG,MEDIUM,0.60020000,0.58467418,0.63280422,2026-09-05 12:43:01,1788599584,OPEN,1788599524,,,,,10.00,10.00,100.00,,33131,,"4h trend=1.00:price=0.6019 EMA21=0.583429 EMA55=0.572615 ADX=20.7 | 1h trend=1.00:price=0.6002 EMA21=0.591077 EMA55=0.587459 ADX=23.6 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.5854, distance=2.466% | momentum=1.00:RSI=60.9, MACD_hist=0.00124276, ADX=31.4 | volume=0.20:volume ratio=0.87x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00483878 (0.81%) | multi-timeframe=0.96:weighted alignment=0.96"
OP-USDT,LONG,MEDIUM,0.10020000,0.09937494,0.10193262,2026-09-05 12:43:06,1788599588,OPEN,1788599528,,,,,10.00,10.00,100.00,,33132,,"4h trend=1.00:price=0.1012 EMA21=0.098345 EMA55=0.096703 ADX=24.3 | 1h trend=1.00:price=0.1002 EMA21=0.099447 EMA55=0.0988938 ADX=20.4 | 30m structure=0.50:HH=True, HL=False | key level=0.65:support=0.0995, distance=0.699% | momentum=1.00:RSI=53.9, MACD_hist=4.7239e-05, ADX=31.4 | volume=0.20:volume ratio=0.36x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.000833703 (0.83%) | multi-timeframe=0.92:weighted alignment=0.92"
