symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ETH-USDT,LONG,MEDIUM,1908.61000000,1889.01139000,1947.80722000,2026-08-06 01:10:42,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.478 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.146 [≥ 0.48];✅ روند EMA 1h: EMA21=1889.54, EMA50=1878.57;❌ روند EMA 4h: EMA21=1877.00, EMA50=1879.21, EMA200=1823.33;✅ RSI 30m: RSI=60.18;✅ MACD 30m: MACD_hist=0.8446;❌ ورود هوشمند پولبک: قیمت=1908.6100 EMA=1899.8041 RSI=60.2 BS15=0.478;❌ ADX: ADX=38.34 [>25], DI+=183.35, DI-=411.33;✅ CCI عبور از ۰: CCI=48.85;✅ SAR: SAR=1907.8262, قیمت=1908.6100;✅ Stochastic کراس: K=64.90 D=21.63;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0069 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0069, ADX=38.34 -> ✅ OK"
XAUT-USDT,LONG,LOW,4244.29000000,4235.10571000,4262.65858000,2026-08-06 08:27:18,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.258 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.094 [≥ 0.48];✅ روند EMA 1h: EMA21=4217.68, EMA50=4160.60;✅ روند EMA 4h: EMA21=4138.97, EMA50=4094.97, EMA200=4073.09;✅ RSI 30m: RSI=53.83;❌ MACD 30m: MACD_hist=-4.9922;❌ ورود هوشمند پولبک: قیمت=4244.2900 EMA=4242.8832 RSI=53.8 BS15=0.258;✅ ADX: ADX=55.83 [>25], DI+=439.48, DI-=124.58;✅ CCI عبور از ۰: CCI=-17.91;✅ SAR: SAR=4239.3612, قیمت=4244.2900;✅ Stochastic کراس: K=24.73 D=8.24;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0086 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0086, ADX=55.83 -> ✅ OK"
XRP-USDT,SHORT,MEDIUM,1.04754000,1.06673262,1.00915476,2026-08-06 08:27:18,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.507 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.629 [≥ 0.48];✅ روند EMA 1h: EMA21=1.06, EMA50=1.07;✅ روند EMA 4h: EMA21=1.07, EMA50=1.07, EMA200=1.09;✅ RSI 30m: RSI=32.54;✅ MACD 30m: MACD_hist=-0.0015;❌ ورود هوشمند پولبک: قیمت=1.0475 EMA=1.0563 RSI=32.5 BS15=0.507;❌ ADX: ADX=43.09 [>22], DI+=423.53, DI-=168.44;✅ CCI عبور از ۰: CCI=-99.01;❌ SAR: SAR=1.0399, قیمت=1.0475;❌ Stochastic کراس: K=30.33 D=10.11;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0057 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0057, ADX=43.09 -> ✅ OK"
