symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,5143.18000000,5125.80907240,5177.92185520,2026-01-28 00:14:53,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.295 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.530 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=5085.88, EMA55=5069.09;✅ روند EMA 4h: EMA21=5055.84, EMA55=4936.28, EMA200=4659.54;✅ RSI 30m: RSI=71.66 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=5.9714 | سطح=MEDIUM;✅ شکست ورود: Price=5143.18, EMA21=5094.51, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=5094.5125, Last=5143.1800;✅ Pullback: Last=5143.1800, Dir=LONG;✅ ADX: ADX=77.11 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=322.28 | سطح=MEDIUM;✅ SAR: SAR=5100.7828, Close=5143.18, Dir=LONG;❌ Stochastic: K=91.35, D=30.45, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=5151.5600, Last=5143.1800;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
BTC-USDT,LONG,HIGH,88930.20000000,88251.94143300,89947.58785050,2026-01-28 00:14:54,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.665 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.131 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=88198.27, EMA55=88228.99;❌ روند EMA 4h: EMA21=88468.31, EMA55=89656.53, EMA200=90715.22;✅ RSI 30m: RSI=59.89 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=119.1243 | سطح=MEDIUM;✅ شکست ورود: Price=88930.20, EMA21=88266.40, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=88266.4014, Last=88930.2000;✅ Pullback: Last=88930.2000, Dir=LONG;✅ ADX: ADX=60.33 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=199.43 | سطح=MEDIUM;✅ SAR: SAR=88382.544, Close=88930.2, Dir=LONG;❌ Stochastic: K=85.80, D=28.60, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=89200.0000, Last=88930.2000;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
ETH-USDT,LONG,HIGH,3001.59000000,2964.45778950,3057.28831575,2026-01-28 00:14:55,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.804 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.235 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2941.91, EMA55=2927.48;❌ روند EMA 4h: EMA21=2938.01, EMA55=2996.23, EMA200=3073.60;✅ RSI 30m: RSI=63.17 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=7.1714 | سطح=MEDIUM;✅ شکست ورود: Price=3001.59, EMA21=2955.86, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=2955.8577, Last=3001.5900;✅ Pullback: Last=3001.5900, Dir=LONG;✅ ADX: ADX=80.90 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=144.91 | سطح=MEDIUM;✅ SAR: SAR=2979.2692, Close=3001.59, Dir=LONG;❌ Stochastic: K=84.56, D=28.19, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=3018.8500, Last=3001.5900;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
BNB-USDT,LONG,MEDIUM,894.77400000,890.09562600,904.13074800,2026-01-28 00:14:56,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.953 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.228 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=885.03, EMA55=881.36;❌ روند EMA 4h: EMA21=882.97, EMA55=891.58, EMA200=894.99;✅ RSI 30m: RSI=62.97 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.7861 | سطح=MEDIUM;✅ شکست ورود: Price=894.77, EMA21=888.49, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=888.4861, Last=894.7740;✅ Pullback: Last=894.7740, Dir=LONG;✅ ADX: ADX=49.14 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=112.13 | سطح=MEDIUM;✅ SAR: SAR=891.5828, Close=894.774, Dir=LONG;❌ Stochastic: K=84.19, D=28.06, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=897.4320, Last=894.7740;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
SOL-USDT,LONG,HIGH,126.75000000,125.32840950,128.88238575,2026-01-28 00:14:56,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.815 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.294 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=124.69, EMA55=124.44;❌ روند EMA 4h: EMA21=125.08, EMA55=128.29, EMA200=132.39;✅ RSI 30m: RSI=62.63 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.2609 | سطح=MEDIUM;✅ شکست ورود: Price=126.75, EMA21=125.12, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=125.1240, Last=126.7500;✅ Pullback: Last=126.7500, Dir=LONG;✅ ADX: ADX=40.56 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=146.50 | سطح=MEDIUM;✅ SAR: SAR=125.7578, Close=126.75, Dir=LONG;❌ Stochastic: K=85.99, D=28.66, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=127.3300, Last=126.7500;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
XRP-USDT,LONG,MEDIUM,1.91443000,1.89816400,1.94696200,2026-01-28 00:14:57,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.931 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.571 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.90, EMA55=1.90;❌ روند EMA 4h: EMA21=1.90, EMA55=1.93, EMA200=2.00;✅ RSI 30m: RSI=57.07 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0036 | سطح=MEDIUM;✅ شکست ورود: Price=1.91, EMA21=1.90, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.8993, Last=1.9144;✅ Pullback: Last=1.9144, Dir=LONG;✅ ADX: ADX=48.92 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=152.69 | سطح=MEDIUM;✅ SAR: SAR=1.9063, Close=1.91443, Dir=LONG;❌ Stochastic: K=75.01, D=25.00, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=1.9271, Last=1.9144;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
ADA-USDT,LONG,HIGH,0.35920000,0.35457250,0.36614125,2026-01-28 00:15:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.880 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.286 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.35, EMA55=0.35;❌ روند EMA 4h: EMA21=0.35, EMA55=0.36, EMA200=0.38;✅ RSI 30m: RSI=61.65 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0009 | سطح=MEDIUM;✅ شکست ورود: Price=0.36, EMA21=0.35, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.3538, Last=0.3592;✅ Pullback: Last=0.3592, Dir=LONG;✅ ADX: ADX=67.72 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=172.94 | سطح=MEDIUM;✅ SAR: SAR=0.3557, Close=0.3592, Dir=LONG;❌ Stochastic: K=76.39, D=25.46, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=0.3626, Last=0.3592;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
DOGE-USDT,LONG,MEDIUM,0.12495000,0.12369720,0.12745560,2026-01-28 00:15:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.978 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.581 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.12, EMA55=0.12;❌ روند EMA 4h: EMA21=0.12, EMA55=0.13, EMA200=0.13;✅ RSI 30m: RSI=60.51 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0003 | سطح=MEDIUM;✅ شکست ورود: Price=0.12, EMA21=0.12, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1234, Last=0.1250;✅ Pullback: Last=0.1250, Dir=LONG;✅ ADX: ADX=59.04 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=132.78 | سطح=MEDIUM;✅ SAR: SAR=0.1243, Close=0.12495, Dir=LONG;❌ Stochastic: K=76.24, D=25.41, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=0.1260, Last=0.1250;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
DOT-USDT,SHORT,HIGH,1.88300000,1.90671950,1.84742075,2026-01-28 00:15:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.960 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.657 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.86, EMA55=1.87;✅ روند EMA 4h: EMA21=1.88, EMA55=1.93, EMA200=2.01;❌ RSI 30m: RSI=59.55 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0054 | سطح=MEDIUM;❌ شکست ورود: Price=1.88, EMA21=1.86, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.8609, Last=1.8830;✅ Pullback: Last=1.8830, Dir=SHORT;✅ ADX: ADX=27.52 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=180.98 | سطح=MEDIUM;❌ SAR: SAR=1.8695, Close=1.883, Dir=SHORT;❌ Stochastic: K=81.52, D=27.17, Dir=SHORT | سطح=MEDIUM;✅ Resistance Test: Res=1.8954, Last=1.8830;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
POL-USDT,SHORT,HIGH,0.12000000,0.12186450,0.11720325,2026-01-28 00:15:03,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.600 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.12, EMA55=0.12;✅ روند EMA 4h: EMA21=0.12, EMA55=0.13, EMA200=0.13;❌ RSI 30m: RSI=61.97 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0006 | سطح=MEDIUM;❌ شکست ورود: Price=0.12, EMA21=0.12, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1177, Last=0.1200;✅ Pullback: Last=0.1200, Dir=SHORT;✅ ADX: ADX=20.69 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=183.77 | سطح=MEDIUM;❌ SAR: SAR=0.1195, Close=0.12, Dir=SHORT;❌ Stochastic: K=89.47, D=29.82, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1206, Last=0.1200;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
