symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
FIL-USDT,SHORT,HIGH,1.26670000,1.27764280,1.24481440,2025-12-26 00:11:25,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.272412,30m:EMA55=1.274966,1h:EMA21=1.273725,1h:EMA55=1.280025,4h:EMA21=1.283453,4h:EMA55=1.297208 | TF_RSI=5m:RSI=35.82,15m:RSI=42.71,30m:RSI=45.58,1h:RSI=44.3,4h:RSI=44.47 | TF_MACD=5m:MACD=-0.001494,5m:HIST=-0.001014,15m:MACD=-6.2e-05,15m:HIST=-0.000891,30m:MACD=-0.000521,30m:HIST=-0.000216,1h:MACD=-0.002144,1h:HIST=0.000495,4h:MACD=-0.005751,4h:HIST=-0.001967 | BS15=0.429 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.429 [حد ≥ 0.35]|EMA21=1.27, EMA55=1.28|EMA21=1.28, EMA55=1.30, EMA200=0.00|RSI=45.58 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=1.27, EMA21=1.27, Th=0.003"
APT-USDT,LONG,HIGH,1.66310000,1.64349560,1.70230880,2025-12-26 07:39:21,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.646287,30m:EMA55=1.639796,1h:EMA21=1.643169,1h:EMA55=1.630492,4h:EMA21=1.628295,4h:EMA55=1.621003 | TF_RSI=5m:RSI=49.39,15m:RSI=56.49,30m:RSI=57.47,1h:RSI=56.09,4h:RSI=56.29 | TF_MACD=5m:MACD=0.005771,5m:HIST=-0.003385,15m:MACD=0.012083,15m:HIST=0.004073,30m:MACD=0.006599,30m:HIST=0.006182,1h:MACD=0.005439,1h:HIST=0.00216,4h:MACD=0.014911,4h:HIST=0.003493 | BS15=0.588 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.588 [حد ≥ 0.35]|EMA21=1.64, EMA55=1.63|EMA21=1.63, EMA55=1.62, EMA200=0.00|RSI=57.47 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=1.66, EMA21=1.65, Th=0.003"
XAUT-USDT,LONG,LOW,4516.34000000,4509.10100600,4530.81798800,2025-12-26 08:21:29,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=4506.265051,30m:EMA55=4497.115438,1h:EMA21=4499.553355,1h:EMA55=4487.396047,4h:EMA21=4477.430444,4h:EMA55=4418.920405 | TF_RSI=5m:RSI=56.56,15m:RSI=59.93,30m:RSI=64.99,1h:RSI=65.15,4h:RSI=69.32 | TF_MACD=5m:MACD=1.075553,5m:HIST=0.446412,15m:MACD=3.919244,15m:HIST=-0.249789,30m:MACD=6.560137,30m:HIST=0.553045,1h:MACD=7.509606,1h:HIST=2.381424,4h:MACD=25.806837,4h:HIST=-2.231435 | BS15=1.0 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=1.000 [حد ≥ 0.6]|EMA21=4499.55, EMA55=4487.40|EMA21=4477.43, EMA55=4418.92, EMA200=0.00|RSI=64.99 [حد ≥ 5]|MACD_hist=0.0000 [حد ≥ 5]|Price=4516.34, EMA21=4506.27, Th=0.0"
APT-USDT,LONG,HIGH,1.68970000,1.66972720,1.72964560,2025-12-26 08:21:30,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.651275,30m:EMA55=1.642012,1h:EMA21=1.645587,1h:EMA55=1.631442,4h:EMA21=1.630713,4h:EMA55=1.621953 | TF_RSI=5m:RSI=65.74,15m:RSI=64.59,30m:RSI=67.66,1h:RSI=62.73,4h:RSI=60.15 | TF_MACD=5m:MACD=0.007749,5m:HIST=0.000884,15m:MACD=0.014555,15m:HIST=0.003734,30m:MACD=0.009917,30m:HIST=0.007438,1h:MACD=0.007561,1h:HIST=0.003857,4h:MACD=0.017033,4h:HIST=0.005191 | BS15=0.842 | RulesPassed=قدرت کندل 15m;روند EMA 1h;روند EMA 4h;RSI 30m;شکست ورود | Reasons=BS15=0.842 [حد ≥ 0.35]|EMA21=1.65, EMA55=1.63|EMA21=1.63, EMA55=1.62, EMA200=0.00|RSI=67.66 [حد ≥ 3]|MACD_hist=0.0000 [حد ≥ 3]|Price=1.69, EMA21=1.65, Th=0.003"
