symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,LONG,LOW,609.97600000,609.08802400,611.75195200,2026-08-14 08:57:42,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.538 [≥ 0.4];❌ قدرت کندل 5m: BS5=0.093 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=610.52, EMA50=610.25;✅ روند EMA 4h: EMA21=608.94, EMA50=603.67, EMA200=586.89;✅ RSI 30m: RSI=46.36;❌ MACD 30m: MACD_hist=-0.0241;❌ ورود هوشمند پولبک: قیمت=609.9760 EMA=610.5877 RSI=46.4 BS15=0.538;✅ ADX: ADX=44.33 [>25], DI+=387.47, DI-=149.45;❌ CCI عبور از ۰: CCI=-84.29;❌ SAR: SAR=610.4103, قیمت=609.9760;❌ Stochastic کراس: K=9.29 D=3.10;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0001 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0001, ADX=44.33 -> ✅ OK"
ATOM-USDT,LONG,MEDIUM,1.53190000,1.50136810,1.59296380,2026-08-14 08:57:43,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.023 [خیلی پایین - کندل ضعیف];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.4];✅ روند EMA 1h: EMA21=1.50, EMA50=1.47;❌ روند EMA 4h: EMA21=1.45, EMA50=1.41, EMA200=1.43;✅ RSI 30m: RSI=61.37;❌ MACD 30m: MACD_hist=-0.0010;❌ ورود هوشمند پولبک: قیمت=1.5319 EMA=1.5206 RSI=61.4 BS15=0.023;❌ ADX: ADX=1.58 [>25], DI+=352.19, DI-=341.25;✅ CCI عبور از ۰: CCI=68.74;✅ SAR: SAR=1.5267, قیمت=1.5319;✅ Stochastic کراس: K=54.51 D=18.17;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0186 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0186, ADX=1.58 -> ✅ OK"
OP-USDT,LONG,MEDIUM,0.08720000,0.08711280,0.08737440,2026-08-14 08:57:43,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [≥ 0.4];❌ قدرت کندل 5m: BS5=0.000 [خیلی پایین - کندل ضعیف];❌ روند EMA 1h: EMA21=0.09, EMA50=0.09;❌ روند EMA 4h: EMA21=0.09, EMA50=0.09, EMA200=0.09;✅ RSI 30m: RSI=46.40;❌ MACD 30m: MACD_hist=-0.0001;✅ ورود هوشمند پولبک: قیمت=0.0872 EMA=0.0876 RSI=46.4 BS15=0.500;✅ ADX: ADX=37.14 [>25], DI+=550.82, DI-=252.46;❌ CCI عبور از ۰: CCI=-39.30;❌ SAR: SAR=0.0875, قیمت=0.0872;❌ Stochastic کراس: K=0.00 D=0.00;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;❌ فیلتر رنج: فاصله EMA=0.0022 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0022, ADX=37.14 -> ✅ OK"
