symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ETH-USDT,LONG,LOW,1923.77000000,1902.72623000,1965.85754000,2026-07-21 08:42:13,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.168 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.258 [≥ 0.48];✅ روند EMA 1h: EMA21=1901.59, EMA50=1885.33;✅ روند EMA 4h: EMA21=1882.97, EMA50=1857.72;✅ RSI 30m: RSI=65.90;✅ MACD 30m: MACD_hist=0.7675;❌ ورود هوشمند پولبک: قیمت=1923.7700 EMA=1910.6799 RSI=65.9 BS15=0.168;✅ ADX: ADX=41.17 [>25], DI+=446.85, DI-=186.21;✅ CCI عبور از ۰: CCI=110.70;✅ SAR: SAR=1922.4618, قیمت=1923.7700;❌ Stochastic کراس: K=80.11 D=26.70;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0073 [>0.007]"
ETH-USDT,LONG,LOW,1934.94000000,1915.37506000,1974.06988000,2026-07-21 11:14:49,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.027 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.283 [≥ 0.48];✅ روند EMA 1h: EMA21=1907.92, EMA50=1889.40;✅ روند EMA 4h: EMA21=1883.99, EMA50=1858.16;✅ RSI 30m: RSI=72.25;✅ MACD 30m: MACD_hist=0.8250;❌ ورود هوشمند پولبک: قیمت=1934.9400 EMA=1919.6015 RSI=72.3 BS15=0.027;✅ ADX: ADX=27.88 [>25], DI+=382.29, DI-=215.58;✅ CCI عبور از ۰: CCI=108.77;✅ SAR: SAR=1933.9686, قیمت=1934.9400;❌ Stochastic کراس: K=85.04 D=28.35;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0084 [>0.007]"
LTC-USDT,LONG,LOW,47.46000000,47.28254000,47.81492000,2026-07-21 13:45:45,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=47.37, EMA50=47.13;✅ روند EMA 4h: EMA21=46.86, EMA50=46.00;✅ RSI 30m: RSI=51.70;✅ MACD 30m: MACD_hist=0.0075;❌ ورود هوشمند پولبک: قیمت=47.4600 EMA=47.4533 RSI=51.7 BS15=0.667;✅ ADX: ADX=31.89 [>25], DI+=440.21, DI-=227.32;✅ CCI عبور از ۰: CCI=54.51;❌ SAR: SAR=47.5774, قیمت=47.4600;✅ Stochastic کراس: K=38.46 D=12.82;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0026 [>0.007]"
ETH-USDT,LONG,MEDIUM,1933.77000000,1924.80623000,1951.69754000,2026-07-21 15:36:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.519 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.411 [≥ 0.48];✅ روند EMA 1h: EMA21=1918.81, EMA50=1898.00;✅ روند EMA 4h: EMA21=1892.74, EMA50=1864.03;✅ RSI 30m: RSI=58.55;❌ MACD 30m: MACD_hist=-1.6608;❌ ورود هوشمند پولبک: قیمت=1933.7700 EMA=1929.3891 RSI=58.5 BS15=0.519;❌ ADX: ADX=9.72 [>25], DI+=284.20, DI-=345.43;✅ CCI عبور از ۰: CCI=21.43;✅ SAR: SAR=1929.5968, قیمت=1933.7700;✅ Stochastic کراس: K=34.20 D=11.40;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0082 [>0.007]"
