symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
APT-USDT,SHORT,MEDIUM,0.91460000,0.92421460,0.89537080,2026-03-14 13:00:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.93, EMA50=0.93;✅ روند EMA 4h: EMA21=0.93, EMA50=0.94;✅ RSI 30m: RSI=39.32;✅ MACD 30m: MACD_hist=-0.0003;❌ ورود هوشمند پولبک: قیمت=0.9146 EMA=0.9202 RSI=39.3 BS15=1.000;❌ ADX: ADX=20.85 [>25], DI+=340.59, DI-=223.08;✅ CCI عبور از ۰: CCI=-57.79;❌ SAR: SAR=0.9105, قیمت=0.9146;❌ Stochastic کراس: K=24.62 D=8.21;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0072 [>0.007]"
TRX-USDT,LONG,LOW,0.29380000,0.29290620,0.29558760,2026-03-14 13:49:06,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=0.29, EMA50=0.29;✅ روند EMA 4h: EMA21=0.29, EMA50=0.29;✅ RSI 30m: RSI=58.48;❌ MACD 30m: MACD_hist=-0.0002;❌ ورود هوشمند پولبک: قیمت=0.2938 EMA=0.2935 RSI=58.5 BS15=0.667;✅ ADX: ADX=80.65 [>25], DI+=502.56, DI-=53.85;✅ CCI عبور از ۰: CCI=2.94;✅ SAR: SAR=0.2935, قیمت=0.2938;✅ Stochastic کراس: K=37.50 D=12.50;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0038 [>0.007]"
DOT-USDT,SHORT,MEDIUM,1.44110000,1.44444110,1.43441780,2026-03-14 16:01:16,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=1.46, EMA50=1.48;✅ روند EMA 4h: EMA21=1.48, EMA50=1.49;✅ RSI 30m: RSI=44.09;❌ MACD 30m: MACD_hist=0.0022;❌ ورود هوشمند پولبک: قیمت=1.4411 EMA=1.4429 RSI=44.1 BS15=1.000;❌ ADX: ADX=78.38 [>25], DI+=582.73, DI-=70.64;❌ CCI عبور از ۰: CCI=9.35;❌ SAR: SAR=1.4368, قیمت=1.4411;❌ Stochastic کراس: K=88.12 D=29.37;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0121 [>0.007]"
ATOM-USDT,LONG,MEDIUM,1.86890000,1.85883110,1.88903780,2026-03-14 17:09:26,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=1.86, EMA50=1.85;❌ روند EMA 4h: EMA21=1.84, EMA50=1.83;✅ RSI 30m: RSI=51.72;✅ MACD 30m: MACD_hist=0.0002;❌ ورود هوشمند پولبک: قیمت=1.8689 EMA=1.8681 RSI=51.7 BS15=1.000;✅ ADX: ADX=55.17 [>25], DI+=394.52, DI-=113.97;✅ CCI عبور از ۰: CCI=15.82;✅ SAR: SAR=1.8672, قیمت=1.8689;✅ Stochastic کراس: K=47.73 D=15.91;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0023 [>0.007]"
