symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
APT-USDT,LONG,MEDIUM,1.00100000,0.99269900,1.01760200,2026-04-18 00:06:16,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.557 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.557 [≥ 0.48];✅ روند EMA 1h: EMA21=0.99, EMA50=0.96;✅ روند EMA 4h: EMA21=0.95, EMA50=0.90;✅ RSI 30m: RSI=53.33;❌ MACD 30m: MACD_hist=-0.0004;❌ ورود هوشمند پولبک: قیمت=1.0010 EMA=0.9994 RSI=53.3 BS15=0.557;❌ ADX: ADX=49.73 [>25], DI+=150.23, DI-=447.49;✅ CCI عبور از ۰: CCI=26.70;❌ SAR: SAR=1.0039, قیمت=1.0010;✅ Stochastic کراس: K=52.19 D=17.40;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0126 [>0.007]"
ARB-USDT,LONG,MEDIUM,0.13320000,0.13026680,0.13906640,2026-04-18 00:06:17,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.571 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.13, EMA50=0.13;✅ روند EMA 4h: EMA21=0.12, EMA50=0.12;✅ RSI 30m: RSI=55.60;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.1332 EMA=0.1325 RSI=55.6 BS15=0.571;❌ ADX: ADX=55.56 [>25], DI+=121.74, DI-=426.09;✅ CCI عبور از ۰: CCI=2.83;✅ SAR: SAR=0.1331, قیمت=0.1332;✅ Stochastic کراس: K=53.85 D=17.95;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0169 [>0.007]"
OP-USDT,LONG,MEDIUM,0.13390000,0.13216610,0.13736780,2026-04-18 00:06:17,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.900 [≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.13, EMA50=0.13;✅ روند EMA 4h: EMA21=0.13, EMA50=0.12;✅ RSI 30m: RSI=55.71;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.1339 EMA=0.1333 RSI=55.7 BS15=0.900;❌ ADX: ADX=20.00 [>25], DI+=270.97, DI-=406.45;✅ CCI عبور از ۰: CCI=44.79;❌ SAR: SAR=0.1344, قیمت=0.1339;✅ Stochastic کراس: K=32.65 D=10.88;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0137 [>0.007]"
XLM-USDT,LONG,MEDIUM,0.17390000,0.17232610,0.17704780,2026-04-18 07:55:28,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.917 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=0.17, EMA50=0.17;✅ روند EMA 4h: EMA21=0.17, EMA50=0.16;✅ RSI 30m: RSI=53.40;❌ MACD 30m: MACD_hist=-0.0002;❌ ورود هوشمند پولبک: قیمت=0.1739 EMA=0.1737 RSI=53.4 BS15=0.917;❌ ADX: ADX=3.03 [>25], DI+=329.41, DI-=350.00;✅ CCI عبور از ۰: CCI=92.08;✅ SAR: SAR=0.1735, قیمت=0.1739;✅ Stochastic کراس: K=37.84 D=12.61;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0112 [>0.007]"
BTC-USDT,LONG,LOW,77125.60000000,76818.97440000,77892.16400000,2026-04-18 09:25:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.993 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.583 [≥ 0.48];✅ روند EMA 1h: EMA21=76851.47, EMA50=76029.50;✅ روند EMA 4h: EMA21=75494.83, EMA50=73900.18;✅ RSI 30m: RSI=51.57;❌ MACD 30m: MACD_hist=-64.8329;❌ ورود هوشمند پولبک: قیمت=77125.6000 EMA=77142.8672 RSI=51.6 BS15=0.993;✅ ADX: ADX=32.44 [>25], DI+=359.68, DI-=183.49;❌ CCI عبور از ۰: CCI=-46.96;✅ SAR: SAR=77114.5880, قیمت=77125.6000;✅ Stochastic کراس: K=44.24 D=14.75;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0057 [>0.007]"
XLM-USDT,LONG,MEDIUM,0.17410000,0.17252590,0.17724820,2026-04-18 09:25:03,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.600 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.250 [≥ 0.48];✅ روند EMA 1h: EMA21=0.17, EMA50=0.17;✅ روند EMA 4h: EMA21=0.17, EMA50=0.16;✅ RSI 30m: RSI=53.75;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.1741 EMA=0.1738 RSI=53.7 BS15=0.600;❌ ADX: ADX=5.88 [>25], DI+=381.82, DI-=339.39;❌ CCI عبور از ۰: CCI=-34.19;✅ SAR: SAR=0.1738, قیمت=0.1741;✅ Stochastic کراس: K=43.24 D=14.41;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0103 [>0.007]"
