symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
POL-USDT,SHORT,HIGH,0.09220000,0.09604187,0.08451626,2026-09-04 20:29:56,1788541197,OPEN,1788622920,1788541137,,,,,10.00,10.00,100.00,,33085,
XAUT-USDT,SHORT,LOW,4430.97000000,4444.50410002,4398.48815994,2026-09-04 20:30:09,1788541209,OPEN,1788622860,1788541149,,,,,10.00,10.00,100.00,,33086,
ATOM-USDT,SHORT,MEDIUM,1.49460000,1.51028403,1.46166353,2026-09-04 22:32:40,1788548561,STOP_HIT,1788567060,2026-09-05 05:23:00,1.51103917,0.2000,-1.2999,10.00,10.00,100.00,-12.9990,33087,33099,"4h trend=1.00:price=1.4835 EMA21=1.49301 EMA55=1.49375 ADX=14.4 | 1h trend=0.50:price=1.4946 EMA21=1.50199 EMA55=1.49604 ADX=28.1 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=1.4911, distance=0.234% | momentum=1.00:RSI=45.9, MACD_hist=-0.0010659, ADX=36.6 | volume=0.20:volume ratio=0.72x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00980252 (0.66%) | multi-timeframe=0.79:weighted alignment=0.79"
NEAR-USDT,LONG,MEDIUM,2.02360000,1.90224815,2.27843888,2026-09-04 22:32:43,1788548564,TP_HIT,1788584820,2026-09-05 10:22:00,2.27729966,0.2000,12.3370,10.00,10.00,100.00,123.3705,33088,33114,"4h trend=1.00:price=1.9444 EMA21=1.92875 EMA55=1.89636 ADX=20.1 | 1h trend=1.00:price=2.0236 EMA21=1.96772 EMA55=1.94164 ADX=16.4 | 30m structure=0.00:HH=False, HL=False | key level=0.25:support=1.9069, distance=5.767% | momentum=1.00:RSI=61.0, MACD_hist=0.00403495, ADX=22.4 | volume=0.50:volume ratio=0.99x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0310123 (1.53%) | multi-timeframe=1.00:weighted alignment=1.00"
FIL-USDT,SHORT,HIGH,0.74830000,0.75196737,0.74096526,2026-09-04 22:32:51,1788548571,STOP_HIT,1788548511,2026-09-04 22:54:00,0.75234335,0.2000,-0.7403,10.00,10.00,100.00,-7.4034,33089,33090,"4h trend=0.35:price=0.7432 EMA21=0.765353 EMA55=0.74043 ADX=37.8 | 1h trend=1.00:price=0.7483 EMA21=0.763792 EMA55=0.770937 ADX=34.9 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=0.7511, distance=0.374% | momentum=0.70:RSI=38.6, MACD_hist=0.000175103, ADX=52.4 | volume=0.20:volume ratio=0.09x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00578248 (0.77%) | multi-timeframe=0.76:weighted alignment=0.76"
