symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,5065.01000000,5041.98193850,5099.55209225,2026-02-12 00:00:41,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=5045.12, EMA55=5025.18;✅ روند EMA 4h: EMA21=5015.28, EMA55=4973.37, EMA200=4846.64;✅ RSI 30m: RSI=56.73 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.3376 | سطح=MEDIUM;❌ شکست ورود: Price=5065.01, EMA21=5053.33, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=5053.3254, Last=5065.0100;✅ Pullback: Last=5065.0100, Dir=LONG;✅ ADX: ADX=52.04 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=44.16 | سطح=MEDIUM;✅ SAR: SAR=5056.8466, Close=5065.01, Dir=LONG;❌ Stochastic: K=85.65, D=28.55, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=5073.2800, Last=5065.0100;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
BTC-USDT,SHORT,HIGH,67211.50000000,68111.45383300,65861.56925050,2026-02-12 00:00:42,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.464 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.124 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=67369.20, EMA55=68284.96;✅ روند EMA 4h: EMA21=68628.96, EMA55=71405.10, EMA200=80370.75;❌ RSI 30m: RSI=50.72 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=125.8910 | سطح=MEDIUM;❌ شکست ورود: Price=67211.50, EMA21=67086.69, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=67086.6907, Last=67211.5000;❌ Pullback: Last=67211.5000, Dir=SHORT;✅ ADX: ADX=71.83 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=37.72 | سطح=MEDIUM;✅ SAR: SAR=67214.294, Close=67211.5, Dir=SHORT;❌ Stochastic: K=47.32, D=15.77, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=67858.4000, Last=67211.5000;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
ETH-USDT,SHORT,LOW,1942.78000000,1973.78248150,1896.27627775,2026-02-12 00:00:43,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.739 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.706 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1960.35, EMA55=2000.20;✅ روند EMA 4h: EMA21=2012.80, EMA55=2131.61, EMA200=2561.10;✅ RSI 30m: RSI=46.75 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=2.9201 | سطح=MEDIUM;❌ شکست ورود: Price=1942.78, EMA21=1946.40, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1946.3957, Last=1942.7800;✅ Pullback: Last=1942.7800, Dir=SHORT;✅ ADX: ADX=77.26 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-17.29 | سطح=MEDIUM;❌ SAR: SAR=1940.4976, Close=1942.78, Dir=SHORT;❌ Stochastic: K=35.45, D=11.82, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1959.6000, Last=1942.7800;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BNB-USDT,SHORT,HIGH,606.50400000,614.57132250,594.40301625,2026-02-12 00:00:44,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.161 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.151 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=605.00, EMA55=616.04;✅ روند EMA 4h: EMA21=622.42, EMA55=667.25, EMA200=779.63;❌ RSI 30m: RSI=54.38 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=1.8183 | سطح=MEDIUM;❌ شکست ورود: Price=606.50, EMA21=603.15, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=603.1479, Last=606.5040;❌ Pullback: Last=606.5040, Dir=SHORT;✅ ADX: ADX=63.45 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=71.21 | سطح=MEDIUM;❌ SAR: SAR=606.4551, Close=606.504, Dir=SHORT;❌ Stochastic: K=70.74, D=23.58, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=613.6340, Last=606.5040;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
SOL-USDT,SHORT,LOW,79.06000000,80.44566850,76.98149725,2026-02-12 00:00:45,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.111 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.111 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=80.87, EMA55=82.85;✅ روند EMA 4h: EMA21=83.48, EMA55=89.71, EMA200=109.19;✅ RSI 30m: RSI=39.02 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0018 | سطح=MEDIUM;✅ شکست ورود: Price=79.06, EMA21=80.07, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=80.0719, Last=79.0600;❌ Pullback: Last=79.0600, Dir=SHORT;✅ ADX: ADX=81.03 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-94.42 | سطح=MEDIUM;❌ SAR: SAR=79.0484, Close=79.06, Dir=SHORT;❌ Stochastic: K=20.42, D=6.81, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=80.9300, Last=79.0600;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
XRP-USDT,SHORT,HIGH,1.37591000,1.39698500,1.34429750,2026-02-12 00:00:46,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.195 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.195 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.38, EMA55=1.40;✅ روند EMA 4h: EMA21=1.40, EMA55=1.47, EMA200=1.70;❌ RSI 30m: RSI=51.04 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0024 | سطح=MEDIUM;❌ شکست ورود: Price=1.38, EMA21=1.37, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.3728, Last=1.3759;✅ Pullback: Last=1.3759, Dir=SHORT;✅ ADX: ADX=88.57 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=37.83 | سطح=MEDIUM;❌ SAR: SAR=1.375, Close=1.37591, Dir=SHORT;❌ Stochastic: K=49.82, D=16.61, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.3868, Last=1.3759;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
ADA-USDT,SHORT,LOW,0.25580000,0.25960700,0.25008950,2026-02-12 00:00:50,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.26, EMA55=0.26;✅ روند EMA 4h: EMA21=0.26, EMA55=0.28, EMA200=0.32;✅ RSI 30m: RSI=48.70 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0004 | سطح=MEDIUM;❌ شکست ورود: Price=0.26, EMA21=0.26, Th=0.003 | سطح=MEDIUM;✅ EMA Rejection: EMA=0.2560, Last=0.2558;❌ Pullback: Last=0.2558, Dir=SHORT;✅ ADX: ADX=66.06 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=12.75 | سطح=MEDIUM;❌ SAR: SAR=0.2557, Close=0.2558, Dir=SHORT;❌ Stochastic: K=41.41, D=13.80, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.2597, Last=0.2558;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOGE-USDT,SHORT,LOW,0.09045000,0.09178050,0.08845425,2026-02-12 00:00:51,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.09, EMA55=0.09;✅ روند EMA 4h: EMA21=0.09, EMA55=0.10, EMA200=0.11;✅ RSI 30m: RSI=49.33 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0002 | سطح=MEDIUM;❌ شکست ورود: Price=0.09, EMA21=0.09, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.0904, Last=0.0905;✅ Pullback: Last=0.0905, Dir=SHORT;✅ ADX: ADX=86.15 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=38.20 | سطح=MEDIUM;❌ SAR: SAR=0.0903, Close=0.09045, Dir=SHORT;❌ Stochastic: K=54.49, D=18.16, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.0914, Last=0.0905;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOT-USDT,SHORT,LOW,1.25240000,1.27166900,1.22349650,2026-02-12 00:00:52,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.767 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.475 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.25, EMA55=1.28;✅ روند EMA 4h: EMA21=1.29, EMA55=1.38, EMA200=1.65;✅ RSI 30m: RSI=49.86 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0023 | سطح=MEDIUM;❌ شکست ورود: Price=1.25, EMA21=1.25, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.2522, Last=1.2524;❌ Pullback: Last=1.2524, Dir=SHORT;✅ ADX: ADX=49.16 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=44.17 | سطح=MEDIUM;✅ SAR: SAR=1.2577, Close=1.2524, Dir=SHORT;❌ Stochastic: K=38.25, D=12.75, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.2693, Last=1.2524;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
POL-USDT,SHORT,LOW,0.08860000,0.08998150,0.08652775,2026-02-12 00:00:53,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.875 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.09, EMA55=0.09;✅ روند EMA 4h: EMA21=0.09, EMA55=0.10, EMA200=0.11;✅ RSI 30m: RSI=42.20 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=0.09, EMA21=0.09, Th=0.003 | سطح=MEDIUM;✅ EMA Rejection: EMA=0.0893, Last=0.0886;❌ Pullback: Last=0.0886, Dir=SHORT;✅ ADX: ADX=41.18 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-59.42 | سطح=MEDIUM;✅ SAR: SAR=0.0892, Close=0.0886, Dir=SHORT;❌ Stochastic: K=14.58, D=4.86, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.0903, Last=0.0886;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;✅ حجم لحظه‌ای 1m: اسپایک حجم;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
