symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
SOL-USDT,SHORT,LOW,81.09000000,81.88173840,79.50652320,2026-02-19 00:34:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.561 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.561 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=82.98, EMA55=84.19;✅ روند EMA 4h: EMA21=84.22, EMA55=85.63, EMA200=100.78;✅ RSI 30m: RSI=29.44 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0612 | سطح=MEDIUM;✅ شکست ورود: قیمت=81.09, EMA21=82.26, آستانه=0.003;✅ ADX: ADX=52.71 [حد > 25];✅ CCI: CCI=-103.07;❌ SAR: SAR=81.0592, قیمت=81.0900;❌ Stochastic: K=17.05, D=5.68;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
AVAX-USDT,SHORT,LOW,8.86000000,8.93174800,8.71650400,2026-02-19 00:34:48,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.516 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.516 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=9.02, EMA55=9.10;✅ روند EMA 4h: EMA21=9.11, EMA55=9.18, EMA200=10.33;✅ RSI 30m: RSI=29.65 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0154 | سطح=MEDIUM;✅ شکست ورود: قیمت=8.86, EMA21=8.98, آستانه=0.003;✅ ADX: ADX=32.20 [حد > 25];✅ CCI: CCI=-135.43;✅ SAR: SAR=8.8637, قیمت=8.8600;❌ Stochastic: K=10.26, D=3.42;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleTop"
ARB-USDT,SHORT,LOW,0.10810000,0.10911520,0.10606960,2026-02-19 00:34:48,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.750 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.11, EMA55=0.11;✅ روند EMA 4h: EMA21=0.11, EMA55=0.12, EMA200=0.14;✅ RSI 30m: RSI=25.35 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0002 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.11, EMA21=0.11, آستانه=0.003;✅ ADX: ADX=33.33 [حد > 25];✅ CCI: CCI=-119.67;✅ SAR: SAR=0.1083, قیمت=0.1081;❌ Stochastic: K=7.02, D=2.34;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleBottom"
OP-USDT,SHORT,LOW,0.17100000,0.17357280,0.16585440,2026-02-19 00:34:49,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.600 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.600 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.18, EMA55=0.19;✅ روند EMA 4h: EMA21=0.19, EMA55=0.19, EMA200=0.23;✅ RSI 30m: RSI=15.84 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0011 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.17, EMA21=0.18, آستانه=0.003;✅ ADX: ADX=26.15 [حد > 25];✅ CCI: CCI=-126.20;✅ SAR: SAR=0.1711, قیمت=0.1710;❌ Stochastic: K=1.66, D=0.55;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;❌ پولبک: بدون پولبک;✅ Double Top/Bottom: الگو=DoubleBottom"
