symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,4362.37000000,4355.12763000,4376.85474000,2026-08-15 06:13:42,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=1.000 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=0.000 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=4356.51, EMA50=4355.98;✅ روند EMA 4h: EMA21=4356.12, EMA50=4320.68, EMA200=4187.21;✅ RSI 30m: RSI=55.01;❌ MACD 30m: MACD_hist=-0.8213;❌ ورود هوشمند پولبک: قیمت=4362.3700 EMA=4360.3513 RSI=55.0 BS15=1.000;✅ ADX: ADX=33.33 [>25], DI+=379.89, DI-=189.95;✅ CCI عبور از ۰: CCI=18.61;✅ SAR: SAR=4361.0474, قیمت=4362.3700;✅ Stochastic کراس: K=67.83 D=22.61;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0011 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0011, ADX=33.33 -> ✅ OK"
POL-USDT,LONG,MEDIUM,0.07520000,0.07452480,0.07655040,2026-08-15 06:13:43,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=1.000 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=0.07, EMA50=0.07;❌ روند EMA 4h: EMA21=0.07, EMA50=0.07, EMA200=0.08;✅ RSI 30m: RSI=65.02;❌ MACD 30m: MACD_hist=0.0000;❌ ورود هوشمند پولبک: قیمت=0.0752 EMA=0.0747 RSI=65.0 BS15=1.000;✅ ADX: ADX=50.00 [>25], DI+=393.75, DI-=131.25;✅ CCI عبور از ۰: CCI=92.49;✅ SAR: SAR=0.0751, قیمت=0.0752;✅ Stochastic کراس: K=61.54 D=20.51;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0056 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0056, ADX=50.00 -> ✅ OK"
NEAR-USDT,LONG,MEDIUM,1.63940000,1.63676060,1.64467880,2026-08-15 08:46:56,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.222 [خیلی پایین - کندل ضعیف];❌ قدرت کندل 5m: BS5=0.222 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=1.63, EMA50=1.63;❌ روند EMA 4h: EMA21=1.63, EMA50=1.64, EMA200=1.76;✅ RSI 30m: RSI=55.50;❌ MACD 30m: MACD_hist=-0.0006;❌ ورود هوشمند پولبک: قیمت=1.6394 EMA=1.6346 RSI=55.5 BS15=0.222;✅ ADX: ADX=29.03 [>25], DI+=364.00, DI-=200.20;✅ CCI عبور از ۰: CCI=24.41;✅ SAR: SAR=1.6385, قیمت=1.6394;✅ Stochastic کراس: K=40.56 D=13.52;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0055 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0055, ADX=29.03 -> ✅ OK"
NEAR-USDT,LONG,MEDIUM,1.63680000,1.63036320,1.64967360,2026-08-15 09:17:50,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.941 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=0.941 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=1.63, EMA50=1.63;❌ روند EMA 4h: EMA21=1.63, EMA50=1.64, EMA200=1.76;✅ RSI 30m: RSI=53.78;❌ MACD 30m: MACD_hist=-0.0014;❌ ورود هوشمند پولبک: قیمت=1.6368 EMA=1.6345 RSI=53.8 BS15=0.941;✅ ADX: ADX=38.10 [>25], DI+=399.21, DI-=178.96;✅ CCI عبور از ۰: CCI=-7.68;✅ SAR: SAR=1.6354, قیمت=1.6368;✅ Stochastic کراس: K=31.05 D=10.35;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0053 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0053, ADX=38.10 -> ✅ OK"
FIL-USDT,LONG,MEDIUM,0.69260000,0.68770740,0.70238520,2026-08-15 09:51:09,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=1.000 [خیلی بالا - احتمال پایان حرکت];❌ قدرت کندل 5m: BS5=0.000 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=0.68, EMA50=0.68;❌ روند EMA 4h: EMA21=0.68, EMA50=0.69, EMA200=0.72;✅ RSI 30m: RSI=64.37;❌ MACD 30m: MACD_hist=0.0001;❌ ورود هوشمند پولبک: قیمت=0.6926 EMA=0.6874 RSI=64.4 BS15=1.000;✅ ADX: ADX=62.63 [>25], DI+=737.81, DI-=169.56;✅ CCI عبور از ۰: CCI=48.99;✅ SAR: SAR=0.6921, قیمت=0.6926;✅ Stochastic کراس: K=68.35 D=22.78;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0089 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0089, ADX=62.63 -> ✅ OK"
AVAX-USDT,LONG,MEDIUM,6.65400000,6.56934600,6.82330800,2026-08-15 10:34:29,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.250 [خیلی پایین - کندل ضعیف];❌ قدرت کندل 5m: BS5=0.250 [خیلی پایین - کندل ضعیف];✅ روند EMA 1h: EMA21=6.55, EMA50=6.48;❌ روند EMA 4h: EMA21=6.47, EMA50=6.47, EMA200=6.54;✅ RSI 30m: RSI=61.71;❌ MACD 30m: MACD_hist=-0.0020;❌ ورود هوشمند پولبک: قیمت=6.6540 EMA=6.6049 RSI=61.7 BS15=0.250;✅ ADX: ADX=28.26 [>25], DI+=483.04, DI-=270.18;✅ CCI عبور از ۰: CCI=34.55;✅ SAR: SAR=6.6432, قیمت=6.6540;✅ Stochastic کراس: K=44.08 D=14.69;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0120 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0120, ADX=28.26 -> ✅ OK"
NEAR-USDT,LONG,MEDIUM,1.63940000,1.63036060,1.65747880,2026-08-15 10:34:30,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.634 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.634 [≥ 0.4];✅ روند EMA 1h: EMA21=1.63, EMA50=1.63;❌ روند EMA 4h: EMA21=1.63, EMA50=1.64, EMA200=1.76;✅ RSI 30m: RSI=54.58;❌ MACD 30m: MACD_hist=-0.0018;❌ ورود هوشمند پولبک: قیمت=1.6394 EMA=1.6362 RSI=54.6 BS15=0.634;✅ ADX: ADX=57.03 [>25], DI+=482.72, DI-=132.10;✅ CCI عبور از ۰: CCI=3.63;✅ SAR: SAR=1.6364, قیمت=1.6394;❌ Stochastic کراس: K=20.00 D=6.67;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;✅ فیلتر رنج: فاصله EMA=0.0052 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0052, ADX=57.03 -> ✅ OK"
BNB-USDT,LONG,LOW,611.04000000,607.91196000,617.29608000,2026-08-15 11:19:52,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.659 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.659 [≥ 0.4];✅ روند EMA 1h: EMA21=608.70, EMA50=608.68;✅ روند EMA 4h: EMA21=608.41, EMA50=604.48, EMA200=588.24;✅ RSI 30m: RSI=64.13;✅ MACD 30m: MACD_hist=0.1839;❌ ورود هوشمند پولبک: قیمت=611.0400 EMA=609.4619 RSI=64.1 BS15=0.659;✅ ADX: ADX=99.69 [>25], DI+=643.35, DI-=0.99;✅ CCI عبور از ۰: CCI=76.50;✅ SAR: SAR=610.9471, قیمت=611.0400;❌ Stochastic کراس: K=75.90 [اشباع خرید - ریسک برگشت];❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0015 [>0.005];❌ فیلتر رنج ترکیبی: diff=0.0015 [خیلی پایین - بازار رنج]"
POL-USDT,LONG,MEDIUM,0.07550000,0.07482450,0.07685100,2026-08-15 11:19:53,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.4];✅ روند EMA 1h: EMA21=0.07, EMA50=0.07;❌ روند EMA 4h: EMA21=0.07, EMA50=0.07, EMA200=0.08;✅ RSI 30m: RSI=60.93;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.0755 EMA=0.0752 RSI=60.9 BS15=0.667;❌ ADX: ADX=25.00 [>25], DI+=259.26, DI-=155.56;✅ CCI عبور از ۰: CCI=4.52;✅ SAR: SAR=0.0751, قیمت=0.0755;✅ Stochastic کراس: K=66.67 D=22.22;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0066 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0066, ADX=25.00 -> ✅ OK"
NEAR-USDT,LONG,MEDIUM,1.63580000,1.63036420,1.64667160,2026-08-15 11:19:53,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.591 [≥ 0.4];✅ قدرت کندل 5m: BS5=0.591 [≥ 0.4];✅ روند EMA 1h: EMA21=1.63, EMA50=1.63;❌ روند EMA 4h: EMA21=1.63, EMA50=1.64, EMA200=1.76;✅ RSI 30m: RSI=51.98;❌ MACD 30m: MACD_hist=-0.0023;❌ ورود هوشمند پولبک: قیمت=1.6358 EMA=1.6358 RSI=52.0 BS15=0.591;✅ ADX: ADX=60.95 [>25], DI+=525.45, DI-=127.49;❌ CCI عبور از ۰: CCI=-52.24;✅ SAR: SAR=1.6351, قیمت=1.6358;❌ Stochastic کراس: K=10.27 D=3.42;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0049 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0049, ADX=60.95 -> ✅ OK"
